Missing bin header main
Missing bin header dwarf
[Sections]

nth paddr          size vaddr         vsize perm name
―――――――――――――――――――――――――――――――――――――――――――――――――――――
0   0x00000400  0xf9e00 0x10001000  0xfa000 -r-x .text
1   0x000fa200  0x21000 0x100fb000  0x21000 -r-- .rdata
2   0x0011b200    0xa00 0x1011c000  0x16000 -rw- .data
3   0x0011bc00    0x800 0x10132000   0x1000 -r-- .rsrc
4   0x0011c400   0x1600 0x10133000   0x2000 -r-- .reloc

[Segments]

nth paddr  size vaddr  vsize perm name
――――――――――――――――――――――――――――――――――――――

[Entrypoints]
vaddr=0x100f0f37 paddr=0x000f0337 haddr=0x00000138 type=program

1 entrypoints
[Constructors]

0 entrypoints
[Imports]
nth vaddr      bind type lib          name
――――――――――――――――――――――――――――――――――――――――――
1   0x100fb078 NONE FUNC KERNEL32.dll GetStringTypeW
2   0x100fb07c NONE FUNC KERNEL32.dll GetFileType
3   0x100fb080 NONE FUNC KERNEL32.dll GetStdHandle
4   0x100fb084 NONE FUNC KERNEL32.dll GetProcessHeap
5   0x100fb088 NONE FUNC KERNEL32.dll FreeEnvironmentStringsW
6   0x100fb08c NONE FUNC KERNEL32.dll GetEnvironmentStringsW
7   0x100fb090 NONE FUNC KERNEL32.dll GetCommandLineW
8   0x100fb094 NONE FUNC KERNEL32.dll GetCommandLineA
9   0x100fb098 NONE FUNC KERNEL32.dll GetCPInfo
10  0x100fb09c NONE FUNC KERNEL32.dll MoveFileExA
11  0x100fb0a0 NONE FUNC KERNEL32.dll GetACP
12  0x100fb0a4 NONE FUNC KERNEL32.dll SetStdHandle
13  0x100fb0a8 NONE FUNC KERNEL32.dll WriteFile
14  0x100fb0ac NONE FUNC KERNEL32.dll FlushFileBuffers
15  0x100fb0b0 NONE FUNC KERNEL32.dll GetConsoleCP
16  0x100fb0b4 NONE FUNC KERNEL32.dll GetConsoleMode
17  0x100fb0b8 NONE FUNC KERNEL32.dll FindFirstChangeNotificationA
18  0x100fb0bc NONE FUNC KERNEL32.dll SetFilePointerEx
19  0x100fb0c0 NONE FUNC KERNEL32.dll HeapSize
20  0x100fb0c4 NONE FUNC KERNEL32.dll IsValidCodePage
21  0x100fb0c8 NONE FUNC KERNEL32.dll FindNextFileA
22  0x100fb0cc NONE FUNC KERNEL32.dll FindFirstFileExA
23  0x100fb0d0 NONE FUNC KERNEL32.dll FindClose
24  0x100fb0d4 NONE FUNC KERNEL32.dll HeapFree
25  0x100fb0d8 NONE FUNC KERNEL32.dll DeleteFileA
26  0x100fb0dc NONE FUNC KERNEL32.dll GetSystemDirectoryA
27  0x100fb0e0 NONE FUNC KERNEL32.dll GetEnvironmentVariableA
28  0x100fb0e4 NONE FUNC KERNEL32.dll GetStartupInfoA
29  0x100fb0e8 NONE FUNC KERNEL32.dll CreateProcessA
30  0x100fb0ec NONE FUNC KERNEL32.dll GetModuleFileNameA
31  0x100fb0f0 NONE FUNC KERNEL32.dll GetTickCount
32  0x100fb0f4 NONE FUNC KERNEL32.dll CloseHandle
33  0x100fb0f8 NONE FUNC KERNEL32.dll WriteConsoleW
34  0x100fb0fc NONE FUNC KERNEL32.dll DecodePointer
35  0x100fb100 NONE FUNC KERNEL32.dll GetTimeFormatA
36  0x100fb104 NONE FUNC KERNEL32.dll HeapReAlloc
37  0x100fb108 NONE FUNC KERNEL32.dll GetFileTime
38  0x100fb10c NONE FUNC KERNEL32.dll Sleep
39  0x100fb110 NONE FUNC KERNEL32.dll GetLastError
40  0x100fb114 NONE FUNC KERNEL32.dll VirtualProtect
41  0x100fb118 NONE FUNC KERNEL32.dll GetCurrentProcessId
42  0x100fb11c NONE FUNC KERNEL32.dll GetOEMCP
43  0x100fb120 NONE FUNC KERNEL32.dll IsProcessorFeaturePresent
44  0x100fb124 NONE FUNC KERNEL32.dll IsDebuggerPresent
45  0x100fb128 NONE FUNC KERNEL32.dll UnhandledExceptionFilter
46  0x100fb12c NONE FUNC KERNEL32.dll SetUnhandledExceptionFilter
47  0x100fb130 NONE FUNC KERNEL32.dll GetStartupInfoW
48  0x100fb134 NONE FUNC KERNEL32.dll GetModuleHandleW
49  0x100fb138 NONE FUNC KERNEL32.dll QueryPerformanceCounter
50  0x100fb13c NONE FUNC KERNEL32.dll GetCurrentThreadId
51  0x100fb140 NONE FUNC KERNEL32.dll GetSystemTimeAsFileTime
