Missing bin header main
Missing bin header dwarf
[Sections]

nth paddr           size vaddr          vsize perm name
―――――――――――――――――――――――――――――――――――――――――――――――――――――――
0   0x00000400     0x200 0x17171000    0x1000 -r-x .orpc
1   0x00000600   0x10000 0x17172000   0x10000 -r-x .text
2   0x00010600     0x400 0x17182000    0x1000 -rw- .data
3   0x00010a00  0x17d400 0x17183000  0x17e000 -r-- .rsrc
4   0x0018de00    0x1800 0x17301000    0x2000 -r-- .reloc

[Segments]

nth paddr  size vaddr  vsize perm name
――――――――――――――――――――――――――――――――――――――

[Entrypoints]
vaddr=0x1717ec86 paddr=0x0000d286 haddr=0x00000118 type=program

1 entrypoints
[Constructors]

0 entrypoints
[Imports]
nth vaddr      bind type lib          name
――――――――――――――――――――――――――――――――――――――――――
1   0x17172354 NONE FUNC msvcrt.dll   free
2   0x17172358 NONE FUNC msvcrt.dll   memcpy_s
3   0x1717235c NONE FUNC msvcrt.dll   wcsncpy_s
4   0x17172360 NONE FUNC msvcrt.dll   sym.imp.void * __cdecl operator new[](unsigned int)
5   0x17172364 NONE FUNC msvcrt.dll   memset
6   0x17172368 NONE FUNC msvcrt.dll   sym.imp.void __cdecl operator delete(void *)
7   0x1717236c NONE FUNC msvcrt.dll   _wcsicmp
8   0x17172370 NONE FUNC msvcrt.dll   _vsnwprintf
9   0x17172374 NONE FUNC msvcrt.dll   _ltow_s
10  0x17172378 NONE FUNC msvcrt.dll   sym.imp.void * __cdecl operator new(unsigned int)
11  0x1717237c NONE FUNC msvcrt.dll   sym.imp.void __cdecl operator delete[](void *)
12  0x17172380 NONE FUNC msvcrt.dll   _purecall
13  0x17172384 NONE FUNC msvcrt.dll   malloc
14  0x17172388 NONE FUNC msvcrt.dll   _onexit
15  0x1717238c NONE FUNC msvcrt.dll   _lock
16  0x17172390 NONE FUNC msvcrt.dll   __dllonexit
17  0x17172394 NONE FUNC msvcrt.dll   _unlock
18  0x17172398 NONE FUNC msvcrt.dll   _errno
19  0x1717239c NONE FUNC msvcrt.dll   realloc
20  0x171723a0 NONE FUNC msvcrt.dll   _except_handler4_common
21  0x171723a4 NONE FUNC msvcrt.dll   _amsg_exit
22  0x171723a8 NONE FUNC msvcrt.dll   _initterm
23  0x171723ac NONE FUNC msvcrt.dll   _XcptFilter
1   0x17172070 NONE FUNC KERNEL32.dll RaiseException
2   0x17172074 NONE FUNC KERNEL32.dll EnterCriticalSection
3   0x17172078 NONE FUNC KERNEL32.dll LeaveCriticalSection
4   0x1717207c NONE FUNC KERNEL32.dll InitializeCriticalSection
5   0x17172080 NONE FUNC KERNEL32.dll DeleteCriticalSection
6   0x17172084 NONE FUNC KERNEL32.dll DisableThreadLibraryCalls
7   0x17172088 NONE FUNC KERNEL32.dll LocalFree
8   0x1717208c NONE FUNC KERNEL32.dll CloseHandle
9   0x17172090 NONE FUNC KERNEL32.dll ReleaseMutex
10  0x17172094 NONE FUNC KERNEL32.dll WaitForSingleObject
11  0x17172098 NONE FUNC KERNEL32.dll GetLastError
12  0x1717209c NONE FUNC KERNEL32.dll CreateMutexW
13  0x171720a0 NONE FUNC KERNEL32.dll GetCommandLineW
