[Strings]
nth  paddr      vaddr      len size section type    string
――――――――――――――――――――――――――――――――――――――――――――――――――――――――――
0    0x0000004d 0x0000004d 44  45           ascii   !This program cannot be run in DOS mode.\r\r\n$
1    0x00000248 0x00000248 4   5            ascii   Rich
2    0x00000358 0x00000358 5   6            ascii   .text
3    0x0000037f 0x0000037f 7   8            ascii   h.rdata
4    0x000003a7 0x000003a7 6   7            ascii   H.data
5    0x000003d0 0x000003d0 4   5            ascii   PAGE
6    0x000003f7 0x000003f7 5   6            ascii   `INIT
7    0x00000420 0x00000420 6   7            ascii   .reloc
8    0x000004e1 0x000104e1 7   8    .text   ascii   u\f@@AA:
9    0x00000513 0x00010513 5   6    .text   ascii   tsWSV
10   0x00000579 0x00010579 4   7    .text   utf8    Ћω5x blocks=Cyrillic,Greek and Coptic,Basic Latin
11   0x00000588 0x00010588 4   5    .text   ascii   _^[]
12   0x000005e2 0x000105e2 4   6    .text   utf8    j`hذ blocks=Basic Latin,Arabic
13   0x00000632 0x00010632 6   7    .text   ascii   f9H$u\n
14   0x00000651 0x00010651 4   6    .text   utf8    EċE\f blocks=Basic Latin,Latin Extended-A
15   0x000006f7 0x000106f7 4   5    .text   ascii   PVh@
16   0x0000070d 0x0001070d 5   6    .text   ascii   VVVVP
17   0x000007a5 0x000107a5 5   6    .text   ascii   hRptr
18   0x00000895 0x00010895 7   8    .text   ascii   H ;M\bu+
19   0x000008da 0x000108da 7   8    .text   ascii   M\b9H u"
20   0x00000930 0x00010930 7   8    .text   ascii   M\b9N u:
21   0x0000094a 0x0001094a 4   6    .text   utf8    ӋNP2 blocks=Cyrillic,Basic Latin
22   0x00000981 0x00010981 4   5    .text   ascii   _^[]
23   0x000009bb 0x000109bb 7   8    .text   ascii   NX;M\bt"
24   0x00000a2f 0x00010a2f 7   8    .text   ascii   NX;M\bt"
25   0x00000b29 0x00010b29 4   5    .text   ascii   Z\bVW
26   0x00000b56 0x00010b56 4   5    .text   ascii   J\nf;
27   0x00000b66 0x00010b66 8   9    .text   ascii   HNf;M\buA
28   0x00000b6f 0x00010b6f 7   8    .text   ascii   H<;J u9
29   0x00000b93 0x00010b93 7   8    .text   ascii   HNf;M\bu
30   0x00000bc4 0x00010bc4 7   8    .text   ascii   J\nf;H$u
31   0x00000bd9 0x00010bd9 6   7    .text   ascii   x<;z t
32   0x00000bfd 0x00010bfd 4   5    .text   ascii   J\nf;
33   0x00000c0c 0x00010c0c 4   5    .text   ascii   H8;J
34   0x00000c16 0x00010c16 4   5    .text   ascii   HNf;
35   0x00000c1e 0x00010c1e 5   6    .text   ascii   H(;J\f
36   0x00000c3c 0x00010c3c 4   5    .text   ascii   H8;J
37   0x00000c46 0x00010c46 4   5    .text   ascii   HNf;
38   0x00000c83 0x00010c83 4   5    .text   ascii   J\nf;
39   0x00000c96 0x00010c96 4   5    .text   ascii   H8;J
40   0x00000ca4 0x00010ca4 6   7    .text   ascii   HNf;M\b
41   0x00000cde 0x00010cde 4   5    .text   ascii   H8;J
42   0x00000ce8 0x00010ce8 8   9    .text   ascii   HNf;M\buc
43   0x00000cf5 0x00010cf5 46  47   .text   ascii   uK8X)uF8X*uA8X+u<8X,u78X-u28X.u-8X/u(8X0u#8X1u
44   0x00000d24 0x00010d24 4   5    .text   ascii   8X2u
45   0x00000d29 0x00010d29 4   5    .text   ascii   8X3u
46   0x00000d2e 0x00010d2e 4   5    .text   ascii   8X4u
47   0x00000d33 0x00010d33 9   10   .text   ascii   8X5u\n8X6u
48   0x00000d3d 0x00010d3d 4   5    .text   ascii   8X7t
49   0x00000d5e 0x00010d5e 5   7    .text   utf8    \n3ۋ@  blocks=Basic Latin,Arabic
50   0x00000d69 0x00010d69 4   5    .text   ascii   _^[]
51   0x00000daf 0x00010daf 4   5    .text   ascii   PVVV
52   0x00000eb9 0x00010eb9 4   5    .text   ascii   ^_[j
53   0x00000ef2 0x00010ef2 5   6    .text   ascii   @\b;E\b
54   0x00001028 0x00011028 5   6    .text   ascii   \a=oz&
55   0x00001042 0x00011042 5   6    .text   ascii   "=~z&
56   0x000010ae 0x000110ae 4   5    .text   ascii   _[^]
57   0x000010d7 0x000110d7 7   8    .text   ascii   I\b;M\bud
58   0x000011d3 0x000111d3 7   8    .text   ascii   @\b;E\bu@
59   0x000012ed 0x000112ed 4   5    .text   ascii   _^[]
60   0x0000131a 0x0001131a 7   8    .text   ascii   I\b;M\buk
61   0x0000141d 0x0001141d 8   9    .text   ascii   I\bW;M\bu7
62   0x000014ac 0x000114ac 4   5    .text   ascii   C#V3
63   0x0000157c 0x0001157c 4   5    .text   ascii   E\fS3
64   0x00001581 0x00011581 5   6    .text   ascii   8X!t\a
65   0x00001591 0x00011591 9   10   .text   ascii   I\b;M\buM9X
66   0x0000166f 0x0001166f 8   9    .text   ascii   I\b;M\bt\a3
67   0x0000167d 0x0001167d 4   5    .text   ascii   SVW3
68   0x00001720 0x00011720 4   5    .text   ascii   _^[]
69   0x00001787 0x00011787 8   9    .text   ascii   @\b;E\bt\a3
