[Strings]
nth   paddr      vaddr      len size section type    string
―――――――――――――――――――――――――――――――――――――――――――――――――――――――――――
0     0x0000004d 0x0000004d 44  45           ascii   !This program cannot be run in DOS mode.\r\r\n$
1     0x000000b7 0x000000b7 6   7            ascii   iRichu
2     0x000001d0 0x000001d0 5   6            ascii   .text
3     0x000001f7 0x000001f7 7   8            ascii   `.rdata
4     0x0000021f 0x0000021f 6   7            ascii   @.data
5     0x00000248 0x00000248 6   7            ascii   .ndata
6     0x00000270 0x00000270 5   6            ascii   .rsrc
7     0x0000041a 0x0040101a 4   5    .text   ascii   \rh\eE
8     0x0000043a 0x0040103a 4   5    .text   ascii   5p\eE
9     0x0000053a 0x0040113a 4   5    .text   ascii   5Xp@
10    0x000005f5 0x004011f5 4   5    .text   ascii   U\bSV
11    0x00000617 0x00401217 6   7    .text   ascii   t\v9M\ft
12    0x000006a7 0x004012a7 5   6    .text   ascii    s495
13    0x0000073a 0x0040133a 4   7    .text   utf8    #ȋKM blocks=Basic Latin,Latin Extended-B
14    0x000007c2 0x004013c2 5   7    .text   utf8    +C|$\f
15    0x00000810 0x00401410 4   5    .text   ascii   \rp\eE
16    0x00000845 0x00401445 6   7    .text   ascii   u\bWj\aY
17    0x00000872 0x00401472 4   6    .text   utf8    M܉\rx blocks=Basic Latin,Syriac
18    0x0000096e 0x0040156e 4   5    .text   ascii   5`r@
19    0x00000975 0x00401575 4   5    .text   ascii   t\aRQ
20    0x0000097c 0x0040157c 4   6    .text   utf8    E܋\rD blocks=Basic Latin,Syriac
21    0x000009c6 0x004015c6 5   6    .text   ascii   tBj\V
22    0x00000a9f 0x0040169f 5   6    .text   ascii   E\bPWh
23    0x00000b02 0x00401702 5   6    .text   ascii   M\bQVh
24    0x00000bb8 0x004017b8 6   7    .text   ascii   E\b9]\bu
25    0x00000be1 0x004017e1 8   9    .text   ascii   uv9]\buSh
26    0x00000c30 0x00401830 5   6    .text   ascii   Ht\eVj
27    0x00000d56 0x00401956 5   6    .text   ascii   t\t9]\b
28    0x00000f11 0x00401b11 4   5    .text   ascii   tDH;
29    0x00000fc3 0x00401bc3 6   7    .text   ascii   E\bt\nj3
30    0x00000fd5 0x00401bd5 4   5    .text   ascii   t\njD
31    0x000010f9 0x00401cf9 4   5    .text   ascii   PShr
32    0x0000111b 0x00401d1b 4   5    .text   ascii   jHjZ
33    0x000011a7 0x00401da7 4   5    .text   ascii   PVu\v
34    0x00001231 0x00401e31 4   6    .text   utf8    ;ÉE\b blocks=Basic Latin,Latin-1 Supplement
35    0x000012a2 0x00401ea2 5   7    .text   utf8    ;ÉE\bt blocks=Basic Latin,Latin-1 Supplement
36    0x000012f8 0x00401ef8 4   6    .text   utf8    ;ÉE\b blocks=Basic Latin,Latin-1 Supplement
37    0x00001377 0x00401f77 5   6    .text   ascii   E\bt\rV
38    0x00001388 0x00401f88 4   5    .text   ascii   j\bSV
39    0x000013a6 0x00401fa6 4   5    .text   ascii   t=9]
40    0x00001459 0x00402059 4   5    .text   ascii   u\aj!
41    0x00001463 0x00402063 4   5    .text   ascii   E\bPh
42    0x0000149d 0x0040209d 4   5    .text   ascii   E\bVP
43    0x000014c8 0x004020c8 4   5    .text   ascii   M\bPQ
44    0x000014fe 0x004020fe 4   6    .text   utf8    uԋ\bP blocks=Basic Latin,Cyrillic Supplement
45    0x00001595 0x00402195 4   5    .text   ascii   u\rSj
46    0x00001646 0x00402246 4   5    .text   ascii   t\tj"
47    0x00001658 0x00402258 4   5    .text   ascii   PSWV
48    0x0000166a 0x0040226a 5   6    .text   ascii   E\b!N~
49    0x0000168f 0x0040228f 4   5    .text   ascii   E\bVP
50    0x00001726 0x00402326 4   5    .text   ascii   M\bSQ
51    0x00001733 0x00402333 7   8    .text   ascii   SQSSSPW
52    0x000017d8 0x004023d8 7   8    .text   ascii   M\bVQSPW
53    0x000017f2 0x004023f2 4   5    .text   ascii   9M\bt
54    0x0000184d 0x0040244d 8   9    .text   ascii   M\bt\fQVPW
55    0x00001861 0x00402461 7   8    .text   ascii   M\bSQVPW
56    0x000018ea 0x004024ea 6   7    .text   ascii   M\bSQPh
57    0x00001939 0x00402539 4   6    .text   utf8    9]̉E blocks=Basic Latin,Combining Diacritical Marks
58    0x00001960 0x00402560 4   5    .text   ascii   u_9]
59    0x00001968 0x00402568 5   6    .text   ascii   }\v\rt+
60    0x0000196e 0x0040256e 5   6    .text   ascii   }\v\nt%
61    0x00001978 0x00402578 10  12   .text   utf8    >F:ÈE\vt@;u blocks=Basic Latin,Latin-1 Supplement
