[Strings]
nth  paddr      vaddr      len size section type    string
――――――――――――――――――――――――――――――――――――――――――――――――――――――――――
0    0x0000004d 0x0000004d 44  45           ascii   !This program cannot be run in DOS mode.\r\r\n$
1    0x000000df 0x000000df 5   6            ascii   2Rich
2    0x000001e8 0x000001e8 5   6            ascii   .text
3    0x0000020f 0x0000020f 7   8            ascii   `.rdata
4    0x00000237 0x00000237 6   7            ascii   @.data
5    0x00000260 0x00000260 5   6            ascii   .rsrc
6    0x00000287 0x00000287 7   8            ascii   @.reloc
7    0x0000048f 0x0040108f 5   7    .text   utf8    u\b3\tE
8    0x00000498 0x00401098 4   6    .text   utf8    t\b\eɃ blocks=Basic Latin,Latin Extended-B
9    0x000009b3 0x004015b3 4   5    .text   ascii   M\f;H
10   0x000009c6 0x004015c6 4   5    .text   ascii   E\f;B
11   0x00000b61 0x00401761 5   6    .text   ascii   ;E\fs\b
12   0x00000b8d 0x0040178d 5   6    .text   ascii   ;U\bu%
13   0x00000ba8 0x004017a8 4   5    .text   ascii   U\fRj
14   0x00000c61 0x00401861 5   6    .text   ascii   ;E\bs\b
15   0x00000c74 0x00401874 4   5    .text   ascii   ;M\bs
16   0x00000ca0 0x004018a0 4   5    .text   ascii   M\b;H
17   0x00000cda 0x004018da 4   5    .text   ascii   ;E\b\e
18   0x00000d05 0x00401905 4   5    .text   ascii   9E\br
19   0x00000d18 0x00401918 4   5    .text   ascii   ;E\bw
20   0x00000d3f 0x0040193f 5   6    .text   ascii   ;M\bs\b
21   0x00000d52 0x00401952 8   9    .text   ascii   +E\b;E\fs\f
22   0x00000d72 0x00401972 7   8    .text   ascii   +M\b+M\fQ
23   0x00000ee3 0x00401ae3 5   8    .text   utf8    E܋E܉E blocks=Basic Latin,Syriac
24   0x00000f7c 0x00401b7c 4   5    .text   ascii   Y_^[
25   0x00001289 0x00401e89 4   5    .text   ascii   SVWP
26   0x0000144f 0x0040204f 4   5    .text   ascii   Y_^[
27   0x00001515 0x00402115 4   5    .text   ascii   h8AC
28   0x00001551 0x00402151 4   5    .text   ascii   hhkC
29   0x000015a1 0x004021a1 4   5    .text   ascii   htmC
30   0x00001605 0x00402205 4   5    .text   ascii   h nC
31   0x000016a5 0x004022a5 4   5    .text   ascii   hH~C
32   0x00001934 0x00402534 4   7    .text   utf8    MԋUԃ blocks=Basic Latin,Cyrillic Supplement
33   0x0000193d 0x0040253d 5   8    .text   utf8    UЋEԊ\b blocks=Basic Latin,Cyrillic,Cyrillic Supplement
34   0x00001954 0x00402554 4   6    .text   utf8    +UЉU blocks=Basic Latin,Cyrillic
35   0x000019d1 0x004025d1 5   8    .text   utf8    E܋Eܣx blocks=Basic Latin,Syriac
