[Strings]
nth  paddr      vaddr      len size section type    string
――――――――――――――――――――――――――――――――――――――――――――――――――――――――――
0    0x0000004d 0x0000004d 44  45           ascii   !This program cannot be run in DOS mode.\r\r\n$
1    0x00000178 0x00000178 5   6            ascii   .text
2    0x0000019e 0x0000019e 7   8            ascii   P`.data
3    0x000001c8 0x000001c8 6   7            ascii   .rdata
4    0x000001ee 0x000001ee 6   7            ascii   0@.bss
5    0x00000218 0x00000218 6   7            ascii   .idata
6    0x00000240 0x00000240 4   5            ascii   .CRT
7    0x00000268 0x00000268 4   5            ascii   .tls
8    0x0000059e 0x0040119e 5   7    .text   utf8    )čD$\e blocks=Basic Latin,Latin Extended-A
9    0x000005fb 0x004011fb 4   5    .text   ascii   =t$A
10   0x00000808 0x00401408 6   8    .text   utf8    [^_]Ív blocks=Basic Latin,Latin-1 Supplement
11   0x00000895 0x00401495 4   5    .text   ascii   $\f@A
12   0x000009e3 0x004015e3 4   5    .text   ascii   D$\f>
13   0x000009eb 0x004015eb 4   5    .text   ascii   D$\b+
14   0x00000e01 0x00401a01 4   5    .text   ascii   \nExe
15   0x00000e08 0x00401a08 4   5    .text   ascii   ctin
16   0x00000e0d 0x00401a0d 6   7    .text   ascii   @\bg Pa
17   0x00000e14 0x00401a14 6   7    .text   ascii   @\fth: 
18   0x00000ef7 0x00401af7 4   5    .text   ascii   D$\b\a
19   0x0000105f 0x00401c5f 4   5    .text   ascii   D$\b\b
20   0x00001445 0x00402045 4   5    .text   ascii   D$\b\v
21   0x0000147a 0x0040207a 4   5    .text   ascii   D$\bX
22   0x000014b0 0x004020b0 4   5    .text   ascii   D$\b\b
23   0x0000151b 0x0040211b 4   5    .text   ascii   D$\b\r
24   0x000015bb 0x004021bb 4   5    .text   ascii   D$\bl
25   0x00001691 0x00402291 4   5    .text   ascii   D$\b@
26   0x000016c7 0x004022c7 4   5    .text   ascii   D$\b\a
27   0x0000182b 0x0040242b 4   5    .text   ascii   D$\b/
28   0x0000191b 0x0040251b 4   5    .text   ascii   D$\b5
29   0x00001c5f 0x0040285f 4   5    .text   ascii   D$\b 
30   0x00001c8d 0x0040288d 4   5    .text   ascii   D$\b\r
31   0x00001cc6 0x004028c6 4   5    .text   ascii   D$\b\f
32   0x0000216a 0x00402d6a 4   5    .text   ascii   D$\b\r
33   0x000021ec 0x00402dec 4   5    .text   ascii   D$\b\t
34   0x0000222d 0x00402e2d 4   5    .text   ascii   D$\b\a
35   0x000022f0 0x00402ef0 4   5    .text   ascii   D$\b\r
36   0x0000243e 0x0040303e 4   7    .text   utf8    \tӉ؉E blocks=Basic Latin,Cyrillic,Arabic
37   0x00002466 0x00403066 4   7    .text   utf8    \tƉu؉ blocks=Basic Latin,Latin Extended-B,Arabic
38   0x00002486 0x00403086 5   6    .text   ascii   $[^_]
39   0x000024bb 0x004030bb 4   7    .text   utf8    \tӉ؉E blocks=Basic Latin,Cyrillic,Arabic
40   0x000024ea 0x004030ea 4   7    .text   utf8    \tƉu؉ blocks=Basic Latin,Latin Extended-B,Arabic
41   0x0000250a 0x0040310a 5   6    .text   ascii   $[^_]
42   0x00002570 0x00403170 7   10   .text   utf8    EЋEЉD$\f blocks=Basic Latin,Cyrillic
43   0x0000260f 0x0040320f 5   7    .text   utf8    EЉD$\f blocks=Basic Latin,Cyrillic
44   0x00002616 0x00403216 4   5    .text   ascii   D$\b-
45   0x00002632 0x00403232 5   7    .text   utf8    EЉD$\f blocks=Basic Latin,Cyrillic
46   0x00002655 0x00403255 5   7    .text   utf8    EЉD$\f blocks=Basic Latin,Cyrillic
47   0x0000265c 0x0040325c 4   5    .text   ascii   D$\b]
48   0x00002682 0x00403282 5   7    .text   utf8    EЉD$\f blocks=Basic Latin,Cyrillic
49   0x000026a7 0x004032a7 5   7    .text   utf8    EЉD$\f blocks=Basic Latin,Cyrillic
50   0x000026ca 0x004032ca 5   7    .text   utf8    EЉD$\f blocks=Basic Latin,Cyrillic
