[Strings]
nth   paddr      vaddr      len  size section type    string
――――――――――――――――――――――――――――――――――――――――――――――――――――――――――――
0     0x0000004d 0x0000004d 22   23           ascii   !Require Windows\r\n$\_.
1     0x000000b0 0x000000b0 4    5            ascii   Rich
2     0x000001b8 0x000001b8 5    6            ascii   .text
3     0x000001df 0x000001df 7    8            ascii   `.rdata
4     0x00000207 0x00000207 6    7            ascii   @.data
5     0x00000230 0x00000230 5    6            ascii   .rsrc
6     0x00000632 0x00401232 4    5    .text   ascii   u\bj,
7     0x0000073c 0x0040133c 5    6    .text   ascii   QQQQP
8     0x0000078a 0x0040138a 4    5    .text   ascii   = bB
9     0x000007af 0x004013af 4    5    .text   ascii   5(bB
10    0x0000081e 0x0040141e 5    6    .text   ascii   A\bu\tQ
11    0x000008a8 0x004014a8 5    7    .text   utf8    3\tF\f_
12    0x000008e8 0x004014e8 5    6    .text   ascii   A\bu\tj
13    0x0000094a 0x0040154a 5    6    .text   ascii   QQQQP
14    0x00000959 0x00401559 4    5    .text   ascii   \bWh0
15    0x00000979 0x00401579 4    5    .text   ascii   @SVW
16    0x00000986 0x00401586 4    5    .text   ascii   =$bB
17    0x00000a3c 0x0040163c 4    5    .text   ascii   F\f9X
18    0x00000a81 0x00401681 4    5    .text   ascii   F\b;F
19    0x00000ae1 0x004016e1 4    5    .text   ascii   <{=t
20    0x00000b25 0x00401725 4    5    .text   ascii   \u\nf
21    0x00000b97 0x00401797 4    5    .text   ascii   E\bYY
22    0x00000c04 0x00401804 4    5    .text   ascii   5,cB
23    0x00000e1a 0x00401a1a 5    6    .text   ascii   F\bPhh
24    0x00000fda 0x00401bda 5    6    .text   ascii   /t\tj\
25    0x00000fe6 0x00401be6 7    9    .text   utf8    ^]Ã=4bB blocks=Basic Latin,Latin-1 Supplement
26    0x00000ff8 0x00401bf8 4    5    .text   ascii   5XbB
27    0x00001008 0x00401c08 4    5    .text   ascii   58bB
28    0x0000100e 0x00401c0e 5    7    .text   utf8    Ѓ%4bB blocks=Cyrillic,Basic Latin
29    0x00001016 0x00401c16 5    7    .text   utf8    Ã%4bB blocks=Latin-1 Supplement,Basic Latin
30    0x00001024 0x00401c24 4    5    .text   ascii   5XbB
31    0x00001033 0x00401c33 4    5    .text   ascii   h8bB
32    0x0000106e 0x00401c6e 5    6    .text   ascii   @9E\bt
33    0x000010e0 0x00401ce0 4    5    .text   ascii   \fj:P
34    0x00001224 0x00401e24 4    5    .text   ascii   SWW3
35    0x00001248 0x00401e48 4    5    .text   ascii   tUWj
36    0x0000125a 0x00401e5a 4    5    .text   ascii   tCj\b
37    0x000012b0 0x00401eb0 4    6    .text   utf8    u؋=@ blocks=Basic Latin,Arabic
38    0x0000130c 0x00401f0c 5    6    .text   ascii   j<^V3
39    0x000013f7 0x00401ff7 4    5    .text   ascii   YY_^
40    0x00001402 0x00402002 4    5    .text   ascii   pSV3
41    0x0000142e 0x0040202e 4    5    .text   ascii   6YSh
42    0x0000157d 0x0040217d 4    5    .text   ascii   t h8
43    0x000017e1 0x004023e1 4    5    .text   ascii   >:u5
44    0x000017f2 0x004023f2 4    5    .text   ascii   9w%Q
45    0x00001881 0x00402481 4    5    .text   ascii   w6r\b
46    0x00001888 0x00402488 7    8    .text   ascii   ;E\fs,j*
47    0x000018ba 0x004024ba 4    5    .text   ascii   E\fPj
48    0x000018ea 0x004024ea 4    5    .text   ascii   9E\ft
49    0x000018f0 0x004024f0 4    5    .text   ascii   u\fPh
50    0x00001939 0x00402539 4    5    .text   ascii   u\bu\a
51    0x00001945 0x00402545 4    5    .text   ascii   }\fiu
52    0x0000197e 0x0040257e 4    5    .text   ascii   \bjkP
53    0x00001a6a 0x0040266a 5    6    .text   ascii   A4VW3
54    0x00001a89 0x00402689 4    6    .text   utf8    Q3Ƀ= blocks=Basic Latin,Latin Extended-B
55    0x00001a96 0x00402696 4    5    .text   ascii   QWVP
56    0x00001aff 0x004026ff 5    6    .text   ascii   YYt\aV
57    0x00001b88 0x00402788 7    8    .text   ascii   PWVhG&@
58    0x00001b93 0x00402793 4    5    .text   ascii   5<bB
59    0x00001b99 0x00402799 4    5    .text   ascii   =DbB
60    0x00001bcf 0x004027cf 4    5    .text   ascii   \rDbB
61    0x00001c15 0x00402815 4    5    .text   ascii   }\b9=
62    0x00001c24 0x00402824 4    5    .text   ascii   M\bQP
63    0x00001c30 0x00402830 6    7    .text   ascii   t\t9}\bu
64    0x00001c4a 0x0040284a 5    6    .text   ascii   u\bj!W
65    0x00001c6f 0x0040286f 5    6    .text   ascii   u\bj"j
66    0x00001e3f 0x00402a3f 7    8    .text   ascii   u\f9=$bB
67    0x00002149 0x00402d49 5    7    .text   utf8    Eʡ cB blocks=Basic Latin,IPA Extensions
68    0x00002151 0x00402d51 4    6    .text   utf8    ]Ћ\bP blocks=Basic Latin,Cyrillic
69    0x000021c6 0x00402dc6 5    7    .text   utf8    Eڡ cB blocks=Basic Latin,Arabic
70    0x00002288 0x00402e88 5    6    .text   ascii   @t\ajf
71    0x000022ca 0x00402eca 4    5    .text   ascii   u\ajh
72    0x000023dd 0x00402fdd 4    5    .text   ascii   PjjV
73    0x000023f0 0x00402ff0 4    7    .text   utf8    M\bS薈 blocks=Basic Latin,CJK Unified Ideographs
74    0x00002422 0x00403022 4    5    .text   ascii   PjiV
75    0x0000245b 0x0040305b 4    5    .text   ascii   ar\ef
76    0x00002482 0x00403082 4    5    .text   ascii   F\b;F
77    0x000024dd 0x004030dd 4    5    .text   ascii   _^[]
78    0x000025b4 0x004031b4 5    6    .text   ascii   SSSSW
79    0x0000262b 0x0040322b 4    5    .text   ascii   t=+E
80    0x000026de 0x004032de 4    5    .text   ascii   <\nu\t
81    0x000026ef 0x004032ef 4    5    .text   ascii   <\rt\v
82    0x000026f5 0x004032f5 5    6    .text   ascii   t\a<\tt
83    0x00002715 0x00403315 4    5    .text   ascii   E\bPj
84    0x0000271c 0x0040331c 4    5    .text   ascii   E\t\r\n
85    0x00002743 0x00403343 4    6    .text   utf8    0]ÍH blocks=Basic Latin,Latin-1 Supplement
86    0x00002754 0x00403354 4    6    .text   utf8    W]ÍH blocks=Basic Latin,Latin-1 Supplement
87    0x000027af 0x004033af 4    5    .text   ascii   u\bW3
88    0x00002824 0x00403424 4    5    .text   ascii   _^[]
89    0x0000285b 0x0040345b 5    6    .text   ascii   QSVW3
90    0x0000286a 0x0040346a 5    7    .text   utf8    E\b+ƉE blocks=Basic Latin,Latin Extended-B
91    0x00002897 0x00403497 4    5    .text   ascii   YYf;
92    0x000028e3 0x004034e3 5    6    .text   ascii   M\bVj\
93    0x000028ee 0x004034ee 4    5    .text   ascii   M\bj/
94    0x00002909 0x00403509 4    5    .text   ascii   ,VW3
95    0x00002916 0x00403516 10   11   .text   ascii   PVVVVVVVh$
96    0x0000296c 0x0040356c 4    5    .text   ascii   t2Vj
97    0x0000299b 0x0040359b 4    5    .text   ascii   =HbB
98    0x000029b5 0x004035b5 4    5    .text   ascii   t%VW
99    0x000029d9 0x004035d9 5    6    .text   ascii   _@^[]
100   0x000029e4 0x004035e4 5    6    .text   ascii   DSVWj
101   0x000029f2 0x004035f2 4    5    .text   ascii   \rLbB
102   0x00002a52 0x00403652 4    5    .text   ascii   =PbB
103   0x00002a66 0x00403666 4    5    .text   ascii   5XbB
104   0x00002aa2 0x004036a2 4    5    .text   ascii   5XbB
105   0x00002ac5 0x004036c5 5    6    .text   ascii   ,SVW3
106   0x00002aec 0x004036ec 5    6    .text   ascii   j`jdP
107   0x00002bd9 0x004037d9 4    5    .text   ascii   WWWW
108   0x00002bf0 0x004037f0 6    7    .text   ascii   hSVWj@
109   0x00002ce2 0x004038e2 4    5    .text   ascii   Q\f9u
110   0x00002d46 0x00403946 4    5    .text   ascii   =LbB
111   0x00002d5b 0x0040395b 4    5    .text   ascii   \rLbB
112   0x00002d92 0x00403992 4    5    .text   ascii   \rLbB
113   0x00002dbc 0x004039bc 5    6    .text   ascii   M\b9\bt
114   0x00002f94 0x00403b94 4    5    .text   ascii   5XbB
115   0x00002fce 0x00403bce 4    6    .text   utf8    S3ۍE blocks=Basic Latin,Arabic
116   0x00002fd4 0x00403bd4 9    10   .text   ascii   PSSSSSSh 
117   0x00003068 0x00403c68 4    5    .text   ascii   YWHP
118   0x0000311c 0x00403d1c 10   11   .text   ascii   It[It/IuJf
119   0x0000314a 0x00403d4a 4    5    .text   ascii   ZvA3
120   0x000031aa 0x00403daa 4    5    .text   ascii   u*Ph
121   0x000031ef 0x00403def 4    5    .text   ascii   u*Ph
122   0x00003259 0x00403e59 4    5    .text   ascii   ;u-;
123   0x00003265 0x00403e65 4    5    .text   ascii   <0\nt
124   0x000032c4 0x00403ec4 4    6    .text   utf8    _^]Å blocks=Basic Latin,Latin-1 Supplement
125   0x0000336b 0x00403f6b 4    5    .text   ascii   t/h,
126   0x0000337d 0x00403f7d 4    5    .text   ascii   t5h$
127   0x0000340c 0x0040400c 4    5    .text   ascii   Y_^[
128   0x000036fd 0x004042fd 4    5    .text   ascii   4SVW
129   0x000037ba 0x004043ba 4    5    .text   ascii   t 9_
130   0x00003858 0x00404458 4    5    .text   ascii   t 9_
131   0x000038a0 0x004044a0 4    5    .text   ascii   \f_^[
