Missing bin header main
Missing bin header dwarf
[Sections]

nth paddr          size vaddr         vsize perm name
―――――――――――――――――――――――――――――――――――――――――――――――――――――
0   0x00000400  0x39600 0x10001000  0x3a000 -r-x .text
1   0x00039a00  0x11e00 0x1003b000  0x12000 -r-- .rdata
2   0x0004b800   0x1800 0x1004d000   0x3000 -rw- .data
3   0x0004d000  0x25c00 0x10050000  0x26000 -r-- .rsrc
4   0x00072c00   0x2e00 0x10076000   0x3000 -r-- .reloc

[Segments]

nth paddr  size vaddr  vsize perm name
――――――――――――――――――――――――――――――――――――――

[Entrypoints]
vaddr=0x1001559e paddr=0x0001499e haddr=0x00000140 type=program

1 entrypoints
[Constructors]

0 entrypoints
[Imports]
nth vaddr      bind type lib          name
――――――――――――――――――――――――――――――――――――――――――
1   0x1003b2fc NONE FUNC pdh.dll      PdhGetFormattedCounterValue
2   0x1003b300 NONE FUNC pdh.dll      PdhCollectQueryData
3   0x1003b304 NONE FUNC pdh.dll      PdhCloseQuery
4   0x1003b308 NONE FUNC pdh.dll      PdhRemoveCounter
5   0x1003b30c NONE FUNC pdh.dll      PdhAddCounterW
6   0x1003b310 NONE FUNC pdh.dll      PdhValidatePathW
7   0x1003b314 NONE FUNC pdh.dll      PdhOpenQueryW
1   0x1003b058 NONE FUNC KERNEL32.dll GetCommandLineA
2   0x1003b05c NONE FUNC KERNEL32.dll GetUserDefaultLangID
3   0x1003b060 NONE FUNC KERNEL32.dll TlsAlloc
4   0x1003b064 NONE FUNC KERNEL32.dll GetThreadLocale
5   0x1003b068 NONE FUNC KERNEL32.dll GetUserDefaultUILanguage
6   0x1003b06c NONE FUNC KERNEL32.dll GetCurrentThread
7   0x1003b070 NONE FUNC KERNEL32.dll GetLargePageMinimum
8   0x1003b074 NONE FUNC KERNEL32.dll GetEnvironmentStringsW
9   0x1003b078 NONE FUNC KERNEL32.dll GetCurrentThreadId
10  0x1003b07c NONE FUNC KERNEL32.dll GetSystemDefaultLangID
11  0x1003b080 NONE FUNC KERNEL32.dll GetOEMCP
12  0x1003b084 NONE FUNC KERNEL32.dll AreFileApisANSI
13  0x1003b088 NONE FUNC KERNEL32.dll GetCurrentProcess
14  0x1003b08c NONE FUNC KERNEL32.dll GetLogicalDrives
15  0x1003b090 NONE FUNC KERNEL32.dll MultiByteToWideChar
16  0x1003b094 NONE FUNC KERNEL32.dll RaiseException
17  0x1003b098 NONE FUNC KERNEL32.dll GetLastError
18  0x1003b09c NONE FUNC KERNEL32.dll InitializeCriticalSectionEx
19  0x1003b0a0 NONE FUNC KERNEL32.dll DeleteCriticalSection
20  0x1003b0a4 NONE FUNC KERNEL32.dll DecodePointer
21  0x1003b0a8 NONE FUNC KERNEL32.dll EnterCriticalSection
22  0x1003b0ac NONE FUNC KERNEL32.dll LeaveCriticalSection
23  0x1003b0b0 NONE FUNC KERNEL32.dll LoadResource
24  0x1003b0b4 NONE FUNC KERNEL32.dll SizeofResource
25  0x1003b0b8 NONE FUNC KERNEL32.dll FindResourceW
26  0x1003b0bc NONE FUNC KERNEL32.dll GetModuleHandleW
27  0x1003b0c0 NONE FUNC KERNEL32.dll GetProcAddress
28  0x1003b0c4 NONE FUNC KERNEL32.dll LoadLibraryExW
29  0x1003b0c8 NONE FUNC KERNEL32.dll GetModuleFileNameW
30  0x1003b0cc NONE FUNC KERNEL32.dll lstrcmpiW
31  0x1003b0d0 NONE FUNC KERNEL32.dll FreeLibrary
32  0x1003b0d4 NONE FUNC KERNEL32.dll MulDiv
33  0x1003b0d8 NONE FUNC KERNEL32.dll SetLastError
34  0x1003b0dc NONE FUNC KERNEL32.dll IsProcessorFeaturePresent
35  0x1003b0e0 NONE FUNC KERNEL32.dll SetFilePointerEx
36  0x1003b0e4 NONE FUNC KERNEL32.dll GetFileSizeEx
37  0x1003b0e8 NONE FUNC KERNEL32.dll GetConsoleMode
38  0x1003b0ec NONE FUNC KERNEL32.dll GetConsoleOutputCP
39  0x1003b0f0 NONE FUNC KERNEL32.dll UnregisterApplicationRestart
40  0x1003b0f4 NONE FUNC KERNEL32.dll FlushFileBuffers
41  0x1003b0f8 NONE FUNC KERNEL32.dll EnumSystemLocalesW
42  0x1003b0fc NONE FUNC KERNEL32.dll GetUserDefaultLCID
43  0x1003b100 NONE FUNC KERNEL32.dll IsValidLocale
44  0x1003b104 NONE FUNC KERNEL32.dll GetLocaleInfoW
45  0x1003b108 NONE FUNC KERNEL32.dll LCMapStringW
46  0x1003b10c NONE FUNC KERNEL32.dll FreeEnvironmentStringsW
47  0x1003b110 NONE FUNC KERNEL32.dll GetCommandLineW
48  0x1003b114 NONE FUNC KERNEL32.dll IsValidCodePage
49  0x1003b118 NONE FUNC KERNEL32.dll FindNextFileW
50  0x1003b11c NONE FUNC KERNEL32.dll FindFirstFileExW
51  0x1003b120 NONE FUNC KERNEL32.dll HeapReAlloc
52  0x1003b124 NONE FUNC KERNEL32.dll HeapSize
53  0x1003b128 NONE FUNC KERNEL32.dll GetFileType
54  0x1003b12c NONE FUNC KERNEL32.dll GetStdHandle
55  0x1003b130 NONE FUNC KERNEL32.dll GetModuleHandleExW
56  0x1003b134 NONE FUNC KERNEL32.dll ExitProcess
57  0x1003b138 NONE FUNC KERNEL32.dll TlsFree
58  0x1003b13c NONE FUNC KERNEL32.dll TlsSetValue
59  0x1003b140 NONE FUNC KERNEL32.dll TlsGetValue
60  0x1003b144 NONE FUNC KERNEL32.dll InitializeCriticalSectionAndSpinCount
61  0x1003b148 NONE FUNC KERNEL32.dll InterlockedFlushSList
62  0x1003b14c NONE FUNC KERNEL32.dll RtlUnwind
63  0x1003b150 NONE FUNC KERNEL32.dll LoadLibraryExA
64  0x1003b154 NONE FUNC KERNEL32.dll VirtualFree
65  0x1003b158 NONE FUNC KERNEL32.dll VirtualAlloc
66  0x1003b15c NONE FUNC KERNEL32.dll FlushInstructionCache
67  0x1003b160 NONE FUNC KERNEL32.dll InterlockedPushEntrySList
68  0x1003b164 NONE FUNC KERNEL32.dll InterlockedPopEntrySList
69  0x1003b168 NONE FUNC KERNEL32.dll HeapFree
70  0x1003b16c NONE FUNC KERNEL32.dll HeapAlloc
71  0x1003b170 NONE FUNC KERNEL32.dll OutputDebugStringW
72  0x1003b174 NONE FUNC KERNEL32.dll GetCPInfo
73  0x1003b178 NONE FUNC KERNEL32.dll GetStringTypeW
74  0x1003b17c NONE FUNC KERNEL32.dll LCMapStringEx
75  0x1003b180 NONE FUNC KERNEL32.dll EncodePointer
76  0x1003b184 NONE FUNC KERNEL32.dll FlushProcessWriteBuffers
77  0x1003b188 NONE FUNC KERNEL32.dll UnregisterApplicationRecoveryCallback
78  0x1003b18c NONE FUNC KERNEL32.dll IsDebuggerPresent
79  0x1003b190 NONE FUNC KERNEL32.dll IsSystemResumeAutomatic
80  0x1003b194 NONE FUNC KERNEL32.dll GetStartupInfoW
81  0x1003b198 NONE FUNC KERNEL32.dll GetProcessHeap
82  0x1003b19c NONE FUNC KERNEL32.dll CloseHandle
83  0x1003b1a0 NONE FUNC KERNEL32.dll ReadFile
84  0x1003b1a4 NONE FUNC KERNEL32.dll FindClose
85  0x1003b1a8 NONE FUNC KERNEL32.dll GetACP
86  0x1003b1ac NONE FUNC KERNEL32.dll GetTickCount64
87  0x1003b1b0 NONE FUNC KERNEL32.dll ReadConsoleW
88  0x1003b1b4 NONE FUNC KERNEL32.dll SetStdHandle
89  0x1003b1b8 NONE FUNC KERNEL32.dll CreateFileW
90  0x1003b1bc NONE FUNC KERNEL32.dll WriteConsoleW
91  0x1003b1c0 NONE FUNC KERNEL32.dll TerminateProcess
92  0x1003b1c4 NONE FUNC KERNEL32.dll SetUnhandledExceptionFilter
93  0x1003b1c8 NONE FUNC KERNEL32.dll WriteFile
94  0x1003b1cc NONE FUNC KERNEL32.dll LocalFree
95  0x1003b1d0 NONE FUNC KERNEL32.dll WideCharToMultiByte
96  0x1003b1d4 NONE FUNC KERNEL32.dll InitializeSListHead
97  0x1003b1d8 NONE FUNC KERNEL32.dll GetSystemTimeAsFileTime
98  0x1003b1dc NONE FUNC KERNEL32.dll GetCurrentProcessId
99  0x1003b1e0 NONE FUNC KERNEL32.dll QueryPerformanceCounter
100 0x1003b1e4 NONE FUNC KERNEL32.dll UnhandledExceptionFilter
1   0x1003b230 NONE FUNC USER32.dll   InSendMessage
2   0x1003b234 NONE FUNC USER32.dll   GetCapture
3   0x1003b238 NONE FUNC USER32.dll   GetMenuCheckMarkDimensions
4   0x1003b23c NONE FUNC USER32.dll   GetProcessWindowStation
5   0x1003b240 NONE FUNC USER32.dll   CloseClipboard
6   0x1003b244 NONE FUNC USER32.dll   GetMessageTime
7   0x1003b248 NONE FUNC USER32.dll   EmptyClipboard
8   0x1003b24c NONE FUNC USER32.dll   DestroyWindow
9   0x1003b250 NONE FUNC USER32.dll   GetShellWindow
10  0x1003b254 NONE FUNC USER32.dll   CallWindowProcW
11  0x1003b258 NONE FUNC USER32.dll   DrawTextW
12  0x1003b25c NONE FUNC USER32.dll   InsertMenuW
13  0x1003b260 NONE FUNC USER32.dll   RegisterClassExW
14  0x1003b264 NONE FUNC USER32.dll   LoadCursorW
15  0x1003b268 NONE FUNC USER32.dll   GetClassInfoExW
16  0x1003b26c NONE FUNC USER32.dll   DefWindowProcW
17  0x1003b270 NONE FUNC USER32.dll   IsWindow
18  0x1003b274 NONE FUNC USER32.dll   GetParent
19  0x1003b278 NONE FUNC USER32.dll   SetTimer
20  0x1003b27c NONE FUNC USER32.dll   ShowWindow
21  0x1003b280 NONE FUNC USER32.dll   InvalidateRect
22  0x1003b284 NONE FUNC USER32.dll   ReleaseDC
23  0x1003b288 NONE FUNC USER32.dll   GetDC
24  0x1003b28c NONE FUNC USER32.dll   EndPaint
25  0x1003b290 NONE FUNC USER32.dll   BeginPaint
26  0x1003b294 NONE FUNC USER32.dll   ClientToScreen
27  0x1003b298 NONE FUNC USER32.dll   GetClientRect
28  0x1003b29c NONE FUNC USER32.dll   SendMessageW
29  0x1003b2a0 NONE FUNC USER32.dll   GetCursor
30  0x1003b2a4 NONE FUNC USER32.dll   CreateWindowExW
31  0x1003b2a8 NONE FUNC USER32.dll   GetWindowLongW
32  0x1003b2ac NONE FUNC USER32.dll   SetWindowLongW
33  0x1003b2b0 NONE FUNC USER32.dll   CharNextW
34  0x1003b2b4 NONE FUNC USER32.dll   UnregisterClassW
35  0x1003b2b8 NONE FUNC USER32.dll   CountClipboardFormats
36  0x1003b2bc NONE FUNC USER32.dll   DestroyCaret
37  0x1003b2c0 NONE FUNC USER32.dll   GetMessageExtraInfo
38  0x1003b2c4 NONE FUNC USER32.dll   GetClipboardSequenceNumber
39  0x1003b2c8 NONE FUNC USER32.dll   GetKBCodePage
40  0x1003b2cc NONE FUNC USER32.dll   GetForegroundWindow
41  0x1003b2d0 NONE FUNC USER32.dll   GetClipboardViewer
42  0x1003b2d4 NONE FUNC USER32.dll   GetFocus
1   0x1003b024 NONE FUNC GDI32.dll    SetBkMode
2   0x1003b028 NONE FUNC GDI32.dll    SetTextColor
3   0x1003b02c NONE FUNC GDI32.dll    CreateFontW
4   0x1003b030 NONE FUNC GDI32.dll    DeleteDC
5   0x1003b034 NONE FUNC GDI32.dll    BitBlt
6   0x1003b038 NONE FUNC GDI32.dll    CreateCompatibleDC
7   0x1003b03c NONE FUNC GDI32.dll    CreateCompatibleBitmap
8   0x1003b040 NONE FUNC GDI32.dll    GetTextMetricsW
9   0x1003b044 NONE FUNC GDI32.dll    SelectObject
10  0x1003b048 NONE FUNC GDI32.dll    GetDeviceCaps
11  0x1003b04c NONE FUNC GDI32.dll    GdiFlush
12  0x1003b050 NONE FUNC GDI32.dll    DeleteObject
1   0x1003b000 NONE FUNC ADVAPI32.dll RegDeleteValueW
2   0x1003b004 NONE FUNC ADVAPI32.dll RegQueryInfoKeyW
3   0x1003b008 NONE FUNC ADVAPI32.dll RegSetValueExW
4   0x1003b00c NONE FUNC ADVAPI32.dll RegEnumKeyExW
5   0x1003b010 NONE FUNC ADVAPI32.dll RegCloseKey
6   0x1003b014 NONE FUNC ADVAPI32.dll RegDeleteKeyW
7   0x1003b018 NONE FUNC ADVAPI32.dll RegCreateKeyExW
8   0x1003b01c NONE FUNC ADVAPI32.dll RegOpenKeyExW
1   0x1003b220 NONE FUNC SHELL32.dll  ShellExecuteW
2   0x1003b224 NONE FUNC SHELL32.dll  InitNetworkAddressControl
3   0x1003b228 NONE FUNC SHELL32.dll  SHGetFolderPathW
1   0x1003b2dc NONE FUNC ole32.dll    CoFreeUnusedLibraries
2   0x1003b2e0 NONE FUNC ole32.dll    CoCreateInstance
3   0x1003b2e4 NONE FUNC ole32.dll    CoInitialize
4   0x1003b2e8 NONE FUNC ole32.dll    OleRun
5   0x1003b2ec NONE FUNC ole32.dll    CoTaskMemAlloc
6   0x1003b2f0 NONE FUNC ole32.dll    CoTaskMemRealloc
7   0x1003b2f4 NONE FUNC ole32.dll    CoTaskMemFree
162 0x1003b1ec NONE FUNC OLEAUT32.dll RegisterTypeLib
161 0x1003b1f0 NONE FUNC OLEAUT32.dll LoadRegTypeLib
4   0x1003b1f4 NONE FUNC OLEAUT32.dll SysReAllocStringLen
6   0x1003b1f8 NONE FUNC OLEAUT32.dll SysStringLen
2   0x1003b1fc NONE FUNC OLEAUT32.dll SysReAllocString
7   0x1003b200 NONE FUNC OLEAUT32.dll VariantInit
314 0x1003b204 NONE FUNC OLEAUT32.dll VarR8Pow
8   0x1003b208 NONE FUNC OLEAUT32.dll VariantClear
9   0x1003b20c NONE FUNC OLEAUT32.dll VariantCopy
10  0x1003b210 NONE FUNC OLEAUT32.dll VariantCopyInd
12  0x1003b214 NONE FUNC OLEAUT32.dll VariantTimeToDosDateTime
277 0x1003b218 NONE FUNC OLEAUT32.dll VarUI4FromDisp

[Symbols]

nth paddr      vaddr      bind   type size lib            name
――――――――――――――――――――――――――――――――――――――――――――――――――――――――――――――
1   0x000005a0 0x100011a0 GLOBAL FUNC 0    giwkhnjltp.dll DllRegisterServer
2   0x000005e0 0x100011e0 GLOBAL FUNC 0    giwkhnjltp.dll agcszoyjs
3   0x000005d0 0x100011d0 GLOBAL FUNC 0    giwkhnjltp.dll bahkgkxkdroklj
4   0x00000650 0x10001250 GLOBAL FUNC 0    giwkhnjltp.dll bkazzsdpctpmyra
5   0x000006d0 0x100012d0 GLOBAL FUNC 0    giwkhnjltp.dll dcvijtkp
6   0x000006b0 0x100012b0 GLOBAL FUNC 0    giwkhnjltp.dll ebwbczga
7   0x000005f0 0x100011f0 GLOBAL FUNC 0    giwkhnjltp.dll egmnvxfsu
8   0x00000630 0x10001230 GLOBAL FUNC 0    giwkhnjltp.dll ewoypwsbdapm
9   0x000006a0 0x100012a0 GLOBAL FUNC 0    giwkhnjltp.dll hmsecpcirudtpwdrb
10  0x00000620 0x10001220 GLOBAL FUNC 0    giwkhnjltp.dll hsmrylhuauw
11  0x000006c0 0x100012c0 GLOBAL FUNC 0    giwkhnjltp.dll iajdteucjvfcaoank
12  0x00000600 0x10001200 GLOBAL FUNC 0    giwkhnjltp.dll iptcbtkpsmiyvq
13  0x00000640 0x10001240 GLOBAL FUNC 0    giwkhnjltp.dll jesrbzi
14  0x00000680 0x10001280 GLOBAL FUNC 0    giwkhnjltp.dll jhzxggxvkkaehqtu
15  0x000006e0 0x100012e0 GLOBAL FUNC 0    giwkhnjltp.dll khpfutkkkmuvjr
16  0x00000670 0x10001270 GLOBAL FUNC 0    giwkhnjltp.dll milljqgtfxytovx
17  0x00000660 0x10001260 GLOBAL FUNC 0    giwkhnjltp.dll nifhpnjgwhb
18  0x00000690 0x10001290 GLOBAL FUNC 0    giwkhnjltp.dll pythelqvusbg
19  0x00000610 0x10001210 GLOBAL FUNC 0    giwkhnjltp.dll qbxvzfepxnaor
1   0x00039cfc 0x1003b2fc NONE   FUNC 0    pdh.dll        imp.PdhGetFormattedCounterValue
2   0x00039d00 0x1003b300 NONE   FUNC 0    pdh.dll        imp.PdhCollectQueryData
3   0x00039d04 0x1003b304 NONE   FUNC 0    pdh.dll        imp.PdhCloseQuery
4   0x00039d08 0x1003b308 NONE   FUNC 0    pdh.dll        imp.PdhRemoveCounter
5   0x00039d0c 0x1003b30c NONE   FUNC 0    pdh.dll        imp.PdhAddCounterW
6   0x00039d10 0x1003b310 NONE   FUNC 0    pdh.dll        imp.PdhValidatePathW
7   0x00039d14 0x1003b314 NONE   FUNC 0    pdh.dll        imp.PdhOpenQueryW
1   0x00039a58 0x1003b058 NONE   FUNC 0    KERNEL32.dll   imp.GetCommandLineA
2   0x00039a5c 0x1003b05c NONE   FUNC 0    KERNEL32.dll   imp.GetUserDefaultLangID
3   0x00039a60 0x1003b060 NONE   FUNC 0    KERNEL32.dll   imp.TlsAlloc
4   0x00039a64 0x1003b064 NONE   FUNC 0    KERNEL32.dll   imp.GetThreadLocale
5   0x00039a68 0x1003b068 NONE   FUNC 0    KERNEL32.dll   imp.GetUserDefaultUILanguage
6   0x00039a6c 0x1003b06c NONE   FUNC 0    KERNEL32.dll   imp.GetCurrentThread
7   0x00039a70 0x1003b070 NONE   FUNC 0    KERNEL32.dll   imp.GetLargePageMinimum
8   0x00039a74 0x1003b074 NONE   FUNC 0    KERNEL32.dll   imp.GetEnvironmentStringsW
9   0x00039a78 0x1003b078 NONE   FUNC 0    KERNEL32.dll   imp.GetCurrentThreadId
10  0x00039a7c 0x1003b07c NONE   FUNC 0    KERNEL32.dll   imp.GetSystemDefaultLangID
11  0x00039a80 0x1003b080 NONE   FUNC 0    KERNEL32.dll   imp.GetOEMCP
12  0x00039a84 0x1003b084 NONE   FUNC 0    KERNEL32.dll   imp.AreFileApisANSI
13  0x00039a88 0x1003b088 NONE   FUNC 0    KERNEL32.dll   imp.GetCurrentProcess
14  0x00039a8c 0x1003b08c NONE   FUNC 0    KERNEL32.dll   imp.GetLogicalDrives
15  0x00039a90 0x1003b090 NONE   FUNC 0    KERNEL32.dll   imp.MultiByteToWideChar
16  0x00039a94 0x1003b094 NONE   FUNC 0    KERNEL32.dll   imp.RaiseException
17  0x00039a98 0x1003b098 NONE   FUNC 0    KERNEL32.dll   imp.GetLastError
18  0x00039a9c 0x1003b09c NONE   FUNC 0    KERNEL32.dll   imp.InitializeCriticalSectionEx
19  0x00039aa0 0x1003b0a0 NONE   FUNC 0    KERNEL32.dll   imp.DeleteCriticalSection
