[Strings]
nth   paddr      vaddr      len size section type    string
―――――――――――――――――――――――――――――――――――――――――――――――――――――――――――
0     0x0000004d 0x0000004d 44  45           ascii   !This program cannot be run in DOS mode.\r\r\n$
1     0x00000110 0x00000110 4   5            ascii   Rich
2     0x00000218 0x00000218 5   6            ascii   .text
3     0x0000023f 0x0000023f 7   8            ascii   `.rdata
4     0x00000267 0x00000267 6   7            ascii   @.data
5     0x00000290 0x00000290 6   7            ascii   .gfids
6     0x000002b7 0x000002b7 5   6            ascii   @.tls
7     0x000002e0 0x000002e0 5   6            ascii   .rsrc
8     0x00000307 0x00000307 7   8            ascii   @.reloc
9     0x000005ab 0x004011ab 4   6    .text   utf8    ӋM\bQ blocks=Cyrillic,Basic Latin
10    0x000005e7 0x004011e7 4   5    .text   ascii   7;7u
11    0x0000061d 0x0040121d 6   7    .text   ascii   E\bVWSP
12    0x0000062b 0x0040122b 5   6    .text   ascii   u\b;7t
13    0x00000645 0x00401245 4   5    .text   ascii   ]\bPQ
14    0x00000666 0x00401266 5   6    .text   ascii   F(^[]
15    0x000006a6 0x004012a6 4   5    .text   ascii   8_^]
16    0x000006c0 0x004012c0 4   5    .text   ascii   \br#S
17    0x000006c8 0x004012c8 5   6    .text   ascii   t\vWSV
18    0x000006fd 0x004012fd 4   5    .text   ascii   ~_^]
19    0x00000711 0x00401311 4   5    .text   ascii   wK9q
20    0x00000771 0x00401371 4   5    .text   ascii   ]\bVW
21    0x00000783 0x00401383 5   7    .text   utf8    M\f+K}
22    0x00000804 0x00401404 4   5    .text   ascii   ;E\br
23    0x00000824 0x00401424 4   5    .text   ascii   \fSVW
24    0x0000088b 0x0040148b 4   5    .text   ascii   E\b@j
25    0x000008fa 0x004014fa 4   5    .text   ascii   ^_^d
26    0x00000936 0x00401536 4   6    .text   utf8    ËU\f+ blocks=Latin-1 Supplement,Basic Latin
27    0x00000966 0x00401566 5   8    .text   utf8    ƍ\fx+ڋ blocks=Latin Extended-B,Basic Latin,Arabic
28    0x000009ee 0x004015ee 5   6    .text   ascii   ;A\bu\v
29    0x00000a32 0x00401632 4   5    .text   ascii   ;P\bu
30    0x00000ab4 0x004016b4 4   5    .text   ascii   U\bVW
31    0x00000ae0 0x004016e0 5   6    .text   ascii   u\r97v
32    0x00000bb6 0x004017b6 5   6    .text   ascii   u\f;7u
33    0x00000c42 0x00401842 4   5    .text   ascii   t\bPj
34    0x00000dc7 0x004019c7 4   5    .text   ascii   ;B\bu
35    0x00000df2 0x004019f2 7   8    .text   ascii   t1;p\bu\b
36    0x00000e3e 0x00401a3e 5   6    .text   ascii   (;0u\b
37    0x00000e82 0x00401a82 4   5    .text   ascii   8_^]
38    0x00000ef7 0x00401af7 5   6    .text   ascii   t.;9u
39    0x00000fa2 0x00401ba2 5   6    .text   ascii   QQVWR
40    0x00000ff9 0x00401bf9 4   5    .text   ascii   u\vjd
41    0x00001028 0x00401c28 4   5    .text   ascii   u\bjd
42    0x00001072 0x00401c72 6   8    .text   utf8    ]Ã=PjL blocks=Basic Latin,Latin-1 Supplement
43    0x0000107f 0x00401c7f 4   6    .text   utf8    ٿPjL blocks=Arabic,Basic Latin
44    0x000010ea 0x00401cea 5   6    .text   ascii   t\nj\fV
45    0x000010ff 0x00401cff 4   5    .text   ascii   PPQh
46    0x0000111a 0x00401d1a 5   6    .text   ascii   QQSVW
47    0x000011ea 0x00401dea 5   8    .text   utf8    3ۉu܉] blocks=Basic Latin,Arabic,Syriac
48    0x000012d8 0x00401ed8 5   7    .text   utf8    }\e+ύE blocks=Basic Latin,Greek and Coptic
49    0x00001358 0x00401f58 5   7    .text   utf8    |Ջ}\bj blocks=Basic Latin,Armenian
50    0x0000137b 0x00401f7b 4   5    .text   ascii   _^[d
51    0x00001395 0x00401f95 6   8    .text   utf8     SV3ۉU blocks=Basic Latin,Arabic
