Error parsing resource directory
[Strings]
nth  paddr      vaddr      len size section type    string
――――――――――――――――――――――――――――――――――――――――――――――――――――――――――
0    0x00000050 0x00000050 40  41           ascii   This program must be run under Win32\r\n$7
1    0x000001f8 0x000001f8 5   6            ascii   .text
2    0x0000021f 0x0000021f 7   8            ascii   `.itext
3    0x00000247 0x00000247 6   7            ascii   `.data
4    0x00000270 0x00000270 4   5            ascii   .bss
5    0x00000298 0x00000298 6   7            ascii   .idata
6    0x000002c0 0x000002c0 7   8            ascii   .didata
7    0x000002e8 0x000002e8 4   5            ascii   .tls
8    0x00000310 0x00000310 6   7            ascii   .rdata
9    0x00000337 0x00000337 7   8            ascii   @.reloc
10   0x0000035f 0x0000035f 6   7            ascii   B.rsrc
11   0x00000405 0x00401005 8   9    .text   ascii   \aBoolean
12   0x0000041b 0x0040101b 5   6    .text   ascii   False
13   0x00000421 0x00401021 4   5    .text   ascii   True
14   0x00000426 0x00401026 6   7    .text   ascii   System
15   0x00000435 0x00401035 9   10   .text   ascii   \bAnsiChar
16   0x00000452 0x00401052 4   5    .text   ascii   Char
17   0x00000469 0x00401069 9   10   .text   ascii   \bShortInt
18   0x00000485 0x00401085 9   10   .text   ascii   \bSmallInt
19   0x000004a1 0x004010a1 8   9    .text   ascii   \aInteger
20   0x000004ba 0x004010ba 4   5    .text   ascii   Byte
21   0x000004d2 0x004010d2 4   5    .text   ascii   Word
22   0x000004e9 0x004010e9 8   9    .text   ascii   \aPointer
23   0x000004fd 0x004010fd 9   10   .text   ascii   \bCardinal
24   0x0000051a 0x0040111a 5   6    .text   ascii   Int64
25   0x0000053a 0x0040113a 6   7    .text   ascii   UInt64
26   0x0000055a 0x0040115a 6   7    .text   ascii   Single
27   0x00000569 0x00401169 9   10   .text   ascii   \bExtended
28   0x0000057e 0x0040117e 6   7    .text   ascii   Double
29   0x0000058d 0x0040118d 9   10   .text   ascii   \bCurrency
30   0x000005a1 0x004011a1 12  13   .text   ascii   \vShortString
31   0x000005b5 0x004011b5 11  12   .text   ascii   \tPAnsiChar0
32   0x000005cd 0x004011cd 11  12   .text   ascii   \tPWideCharL
33   0x000005e5 0x004011e5 9   10   .text   ascii   \bWordBool
34   0x000005fc 0x004011fc 5   6    .text   ascii   False
35   0x00000602 0x00401202 4   5    .text   ascii   True
36   0x00000607 0x00401207 6   7    .text   ascii   System
37   0x00000615 0x00401215 9   10   .text   ascii   \bLongBool
38   0x0000062c 0x0040122c 5   6    .text   ascii   False
39   0x00000632 0x00401232 4   5    .text   ascii   True
40   0x00000637 0x00401237 6   7    .text   ascii   System
41   0x00000646 0x00401246 6   7    .text   ascii   string
42   0x00000654 0x00401254 12  13   .text   ascii   \v\nWideString
43   0x00000668 0x00401268 12  13   .text   ascii   \n\nAnsiString
44   0x0000067c 0x0040127c 9   10   .text   ascii   \f\aVariant
45   0x0000068c 0x0040128c 12  13   .text   ascii   \f\nOleVariant
46   0x000006a2 0x004012a2 7   8    .text   ascii   TClass(
47   0x000006b5 0x004012b5 8   9    .text   ascii   \aHRESULT
48   0x000006ce 0x004012ce 5   6    .text   ascii   PGUID
49   0x000006e2 0x004012e2 5   6    .text   ascii   TGUID
