Missing bin header dwarf
[Sections]

nth paddr          size vaddr         vsize perm name
―――――――――――――――――――――――――――――――――――――――――――――――――――――
0   0x00001000   0x2000 0x00401000   0x2000 -r-x .text
1   0x00003000   0x1000 0x00403000   0x1000 -r-- .rdata
2   0x00004000   0x1000 0x00404000   0x1000 -rw- .data
3   0x00005000  0x15000 0x00405000  0x15000 -r-- .rsrc

[Segments]

nth paddr  size vaddr  vsize perm name
――――――――――――――――――――――――――――――――――――――

[Entrypoints]
vaddr=0x00401fb0 paddr=0x00001fb0 haddr=0x00000108 type=program

1 entrypoints
[Constructors]

0 entrypoints
[Main]
vaddr=0x00402142 paddr=0x00002142
[Imports]
nth  vaddr      bind type lib          name
―――――――――――――――――――――――――――――――――――――――――――
2725 0x00403038 NONE FUNC MFC42.DLL    CWinApp::ExitInstance
4079 0x0040303c NONE FUNC MFC42.DLL    CWinThread::IsIdleMessage
4698 0x00403040 NONE FUNC MFC42.DLL    CWinApp::OnIdle
5307 0x00403044 NONE FUNC MFC42.DLL    CWinThread::PumpMessage
5289 0x00403048 NONE FUNC MFC42.DLL    CWinThread::PreTranslateMessage
5714 0x0040304c NONE FUNC MFC42.DLL    CWinApp::Run
2982 0x00403050 NONE FUNC MFC42.DLL    CCmdTarget::GetConnectionHook
3147 0x00403054 NONE FUNC MFC42.DLL    CCmdTarget::GetExtraConnectionPoints
3259 0x00403058 NONE FUNC MFC42.DLL    CCmdTarget::GetInterfaceHook
4465 0x0040305c NONE FUNC MFC42.DLL    CCmdTarget::OnCreateAggregates
3136 0x00403060 NONE FUNC MFC42.DLL    CCmdTarget::GetEventSinkMap
3262 0x00403064 NONE FUNC MFC42.DLL    CCmdTarget::GetInterfaceMap
2985 0x00403068 NONE FUNC MFC42.DLL    CCmdTarget::GetConnectionMap
3081 0x0040306c NONE FUNC MFC42.DLL    CCmdTarget::GetDispatchMap
2976 0x00403070 NONE FUNC MFC42.DLL    CCmdTarget::GetCommandMap
3830 0x00403074 NONE FUNC MFC42.DLL    CCmdTarget::GetTypeLib
3831 0x00403078 NONE FUNC MFC42.DLL    CCmdTarget::GetTypeLibCache
3825 0x0040307c NONE FUNC MFC42.DLL    CCmdTarget::GetTypeInfoCount
3079 0x00403080 NONE FUNC MFC42.DLL    CCmdTarget::GetDispatchIID
4080 0x00403084 NONE FUNC MFC42.DLL    CCmdTarget::IsInvokeAllowed
4622 0x00403088 NONE FUNC MFC42.DLL    CCmdTarget::OnFinalRelease
4424 0x0040308c NONE FUNC MFC42.DLL    CCmdTarget::OnCmdMsg
3738 0x00403090 NONE FUNC MFC42.DLL    CWinApp::GetRuntimeClass
561  0x00403094 NONE FUNC MFC42.DLL    CWinApp::CWinApp
825  0x00403098 NONE FUNC MFC42.DLL    operatordelete
815  0x0040309c NONE FUNC MFC42.DLL    CWinApp::~CWinApp
641  0x004030a0 NONE FUNC MFC42.DLL    CDialog::~CDialog
2514 0x004030a4 NONE FUNC MFC42.DLL    CDialog::DoModal
2621 0x004030a8 NONE FUNC MFC42.DLL    CWinApp::Enable3dControls
1134 0x004030ac NONE FUNC MFC42.DLL    AfxEnableControlContainer
5265 0x004030b0 NONE FUNC MFC42.DLL    CDialog::PreInitDialog
4376 0x004030b4 NONE FUNC MFC42.DLL    CDialog::OnCancel
4853 0x004030b8 NONE FUNC MFC42.DLL    CDialog::OnOK
4998 0x004030bc NONE FUNC MFC42.DLL    CDialog::OnSetFont
4710 0x004030c0 NONE FUNC MFC42.DLL    CDialog::OnInitDialog
6052 0x004030c4 NONE FUNC MFC42.DLL    CDialog::SetOccDialogInfo
5302 0x004030c8 NONE FUNC MFC42.DLL    CWinApp::ProcessWndProcException
