[Strings]
nth   paddr      vaddr      len  size section type    string
――――――――――――――――――――――――――――――――――――――――――――――――――――――――――――
0     0x0000004d 0x0000004d 44   45           ascii   !This program cannot be run in DOS mode.\r\r\n$
1     0x00000178 0x00000178 5    6            ascii   .text
2     0x0000019f 0x0000019f 7    8            ascii   `.rdata
3     0x000001c7 0x000001c7 6    7            ascii   @.data
4     0x000001f0 0x000001f0 6    7            ascii   .idata
5     0x00000218 0x00000218 6    7            ascii   .reloc
6     0x0000023f 0x0000023f 8    9            ascii   B.symtab
7     0x00000471 0x00401071 101  102  .text   ascii    Go build ID: "WLpR0jKKLtHieTvcuoeC/vHoHYbChB_fRto0_xAjq/BemPiPvwqI2Wp_5WYbLE/5Tqq2GWRfAhoFPnjMLdY"\n 
8     0x000004ed 0x004010ed 5    6    .text   ascii   ;a\bv 
9     0x00000557 0x00401157 4    6    .text   utf8    À;,u blocks=Latin-1 Supplement,Basic Latin
10    0x0000057d 0x0040117d 7    9    .text   utf8    ȁ9cpu.u blocks=Latin Extended-B,Basic Latin
11    0x000005dd 0x004011dd 4    6    .text   utf8    ͉l$4 blocks=Combining Diacritical Marks,Basic Latin
12    0x000005f2 0x004011f2 6    8    .text   utf8    |$$)ލ^ blocks=Basic Latin,Thaana
13    0x00000633 0x00401233 4    5    .text   ascii   l$4f
14    0x000006c6 0x004012c6 4    5    .text   ascii   \$(9
15    0x000006e7 0x004012e7 4    5    .text   ascii   \$(9
16    0x00000708 0x00401308 4    5    .text   ascii   l$(1
17    0x0000071c 0x0040131c 4    5    .text   ascii   t$49
18    0x00000749 0x00401349 5    7    .text   utf8    uĉ\$  blocks=Basic Latin,Latin Extended-A
19    0x0000077d 0x0040137d 6    9    .text   utf8    |$$덋\rd blocks=Basic Latin,Hangul Syllables
20    0x0000078f 0x0040138f 4    5    .text   ascii   D$ 9
21    0x0000095e 0x0040155e 4    7    .text   utf8    )ŉڍ] blocks=Basic Latin,Latin Extended-A,Arabic
22    0x00000998 0x00401598 4    5    .text   ascii   D$,1
23    0x000009a7 0x004015a7 5    8    .text   utf8    ʉىL$8 blocks=IPA Extensions,Arabic,Basic Latin
24    0x00000a5b 0x0040165b 7    10   .text   utf8    T$(눋D$L blocks=Basic Latin,Hangul Syllables
25    0x00000b73 0x00401773 4    5    .text   ascii   \roYS
26    0x00000b99 0x00401799 4    5    .text   ascii   \rrYS
27    0x00000bc0 0x004017c0 4    5    .text   ascii   \ruYS
28    0x00000cdd 0x004018dd 4    5    .text   ascii   \r%_S
29    0x00000d0d 0x0040190d 4    5    .text   ascii   \r3[S
30    0x00000d6d 0x0040196d 4    5    .text   ascii   \r$]S
31    0x00000d9d 0x0040199d 4    5    .text   ascii   \r)]S
32    0x00000dcd 0x004019cd 4    5    .text   ascii   \r/[S
33    0x00000f41 0x00401b41 5    7    .text   utf8    $ÈD$\e blocks=Basic Latin,Latin-1 Supplement
34    0x00000f77 0x00401b77 5    7    .text   utf8    T$\e!ʈ blocks=Basic Latin,IPA Extensions
35    0x00000fae 0x00401bae 5    7    .text   utf8    $ÉL$  blocks=Basic Latin,Latin-1 Supplement
36    0x00000fca 0x00401bca 4    6    .text   utf8    \vL$ 
37    0x00000fda 0x00401bda 4    6    .text   utf8    $Í=` blocks=Basic Latin,Latin-1 Supplement
38    0x000011bd 0x00401dbd 4    5    .text   ascii   ;a\bv
39    0x000011dd 0x00401ddd 5    6    .text   ascii   ;a\bvc
40    0x000011f7 0x00401df7 6    8    .text   utf8    t\n1\bD$
41    0x00001232 0x00401e32 4    5    .text   ascii   D$\b\a
42    0x0000125d 0x00401e5d 5    6    .text   ascii   ;a\bvN
43    0x000012ca 0x00401eca 7    9    .text   utf8    D$\fËD$\b blocks=Basic Latin,Latin-1 Supplement
44    0x000012e0 0x00401ee0 4    5    .text   ascii   D$\f@
45    0x0000136d 0x00401f6d 4    5    .text   ascii   ;a\bv
46    0x000014bf 0x004020bf 4    6    .text   utf8    ȉD$\f blocks=Latin Extended-B,Basic Latin
47    0x000015d1 0x004021d1 4    5    .text   ascii   oD$\b
48    0x0000165e 0x0040225e 4    5    .text   ascii   l$81
49    0x000016b4 0x004022b4 4    5    .text   ascii   |$,1
50    0x000016b9 0x004022b9 4    6    .text   utf8    1҉T$ blocks=Basic Latin,Cyrillic
51    0x000016df 0x004022df 5    7    .text   utf8    ڋ\$49 blocks=Arabic,Basic Latin
52    0x0000173d 0x0040233d 5    7    .text   utf8    ڋ\$8) blocks=Arabic,Basic Latin
53    0x00001773 0x00402373 6    8    .text   utf8    )ϋt$0) blocks=Basic Latin,Greek and Coptic
54    0x0000179d 0x0040239d 5    7    .text   utf8    $ÉT$  blocks=Basic Latin,Latin-1 Supplement
55    0x000017d8 0x004023d8 6    8    .text   utf8    $ËD$09 blocks=Basic Latin,Latin-1 Supplement
56    0x0000188e 0x0040248e 4    5    .text   ascii   l$81
57    0x000018e4 0x004024e4 4    5    .text   ascii   T$01
58    0x0000196b 0x0040256b 4    5    .text   ascii   |$8)
59    0x0000197f 0x0040257f 4    6    .text   utf8    )Ӊ\$ blocks=Basic Latin,Cyrillic
60    0x000019b8 0x004025b8 5    7    .text   utf8    (Ét$$ blocks=Basic Latin,Latin-1 Supplement
61    0x00001c95 0x00402895 4    5    .text   ascii   |$\b9
62    0x00001cb5 0x004028b5 4    5    .text   ascii   |$\b9
63    0x00001d3d 0x0040293d 5    6    .text   ascii   ;a\bv+
64    0x00001d8d 0x0040298d 5    6    .text   ascii   ;a\bv+
65    0x00001ddd 0x004029dd 5    6    .text   ascii   ;a\bv,
66    0x00001f9f 0x00402b9f 4    5    .text   ascii   D$\b\b
67    0x00001fed 0x00402bed 5    6    .text   ascii   ;a\bv<
68    0x0000204d 0x00402c4d 5    6    .text   ascii   ;a\bv<
69    0x000020e1 0x00402ce1 4    5    .text   ascii   D$$5
70    0x000020f3 0x00402cf3 4    5    .text   ascii   D$\fi
71    0x0000210f 0x00402d0f 4    5    .text   ascii   D$$5
72    0x00002121 0x00402d21 4    5    .text   ascii   D$\fi
