[Strings]
nth  paddr      vaddr      len  size section type    string
―――――――――――――――――――――――――――――――――――――――――――――――――――――――――――
0    0x0000004d 0x0000004d 44   45           ascii   !This program cannot be run in DOS mode.\r\r\n$
1    0x0000008f 0x0000008f 5    6            ascii   w82#w
2    0x00000097 0x00000097 5    6            ascii   w82!w
3    0x0000009f 0x0000009f 5    6            ascii   w82 w
4    0x000000e7 0x000000e7 5    6            ascii   wRich
5    0x00000200 0x00000200 5    6            ascii   .text
6    0x00000227 0x00000227 7    8            ascii   `.rdata
7    0x0000024f 0x0000024f 6    7            ascii   @.data
8    0x00000278 0x00000278 6    7            ascii   .gfids
9    0x0000029f 0x0000029f 5    6            ascii   @.tls
10   0x000002c8 0x000002c8 5    6            ascii   .rsrc
11   0x000002ef 0x000002ef 7    8            ascii   @.reloc
12   0x00000dff 0x004019ff 4    6    .text   utf8    Y_^ù blocks=Basic Latin,Latin-1 Supplement
13   0x00000e2d 0x00401a2d 4    7    .text   utf8    YùܝG blocks=Basic Latin,Latin-1 Supplement,Syriac
14   0x00000fc1 0x00401bc1 4    5    .text   ascii   u\fQP
15   0x000010c7 0x00401cc7 4    5    .text   ascii   P$;E
16   0x00001162 0x00401d62 4    6    .text   utf8    Ë]\b3 blocks=Latin-1 Supplement,Basic Latin
17   0x00001184 0x00401d84 4    5    .text   ascii   9x8W
18   0x000012b8 0x00401eb8 4    6    .text   utf8    t03\v
19   0x000012ea 0x00401eea 4    6    .text   utf8    3ۉ]\b blocks=Basic Latin,Arabic
20   0x00001340 0x00401f40 4    6    .text   utf8    t03\v
21   0x00001372 0x00401f72 4    6    .text   utf8    3ۉ]\b blocks=Basic Latin,Arabic
22   0x000013c9 0x00401fc9 5    6    .text   ascii   t!j,j
23   0x00001445 0x00402045 4    6    .text   utf8    t03\v
24   0x00001477 0x00402077 4    6    .text   utf8    3ۉ]\b blocks=Basic Latin,Arabic
25   0x0000158f 0x0040218f 4    5    .text   ascii   ]\f9u
26   0x000015c0 0x004021c0 6    7    .text   ascii   t\fQSQP
27   0x0000161c 0x0040221c 4    6    .text   utf8    ]ËE\b blocks=Basic Latin,Latin-1 Supplement
28   0x00001637 0x00402237 4    6    .text   utf8    YY3Ƀ blocks=Basic Latin,Latin Extended-B
29   0x000016b8 0x004022b8 4    6    .text   utf8    YY3Ƀ blocks=Basic Latin,Latin Extended-B
30   0x000016c9 0x004022c9 4    5    .text   ascii   u\bj\n
31   0x0000174e 0x0040234e 4    5    .text   ascii   hP\fG
32   0x000017ec 0x004023ec 4    5    .text   ascii   hP\fG
33   0x000018d5 0x004024d5 6    8    .text   utf8    F\b3\bF\t
34   0x00001ad7 0x004026d7 4    6    .text   utf8    3ҋM\b blocks=Basic Latin,Cyrillic
35   0x00001b29 0x00402729 6    8    .text   utf8    E\b3҈QA blocks=Basic Latin,Cyrillic
36   0x00001ce9 0x004028e9 4    5    .text   ascii   9]\bt
37   0x00001d5f 0x0040295f 4    5    .text   ascii   9E\ft
38   0x00001fc9 0x00402bc9 4    6    .text   utf8    ڍF\b\e blocks=Arabic,Basic Latin
39   0x00002059 0x00402c59 5    7    .text   utf8    E\b3ۋu blocks=Basic Latin,Arabic
40   0x000021b1 0x00402db1 4    6    .text   utf8    3\tF\b
41   0x0000223c 0x00402e3c 4    5    .text   ascii   u\fRQ
42   0x00002354 0x00402f54 5    6    .text   ascii   tIj@j
43   0x00002422 0x00403022 6    7    .text   ascii   A\bPVh 
44   0x00002434 0x00403034 6    7    .text   ascii   A\bPWh,
45   0x000025bc 0x004031bc 4    5    .text   ascii   5<PG
46   0x000026db 0x004032db 4    5    .text   ascii   D0\b@
47   0x00002a62 0x00403662 7    8    .text   ascii   9E\bu"hP
48   0x00002b21 0x00403721 4    5    .text   ascii   u\bWV
49   0x00002d36 0x00403936 4    6    .text   utf8    ;A\b\e
50   0x00002dd4 0x004039d4 4    6    .text   utf8    ;A\b\e
51   0x00002df5 0x004039f5 8    10   .text   utf8    ]ËAH;ALW blocks=Basic Latin,Latin-1 Supplement
52   0x00002e07 0x00403a07 4    5    .text   ascii   T\bL;
53   0x00002f6a 0x00403b6a 4    6    .text   utf8    D2܋F blocks=Basic Latin,Syriac
54   0x00003063 0x00403c63 6    7    .text   ascii   u#8F\bt
55   0x0000306a 0x00403c6a 4    5    .text   ascii   8F\tu
56   0x0000307a 0x00403c7a 4    5    .text   ascii   hX\vG
57   0x00003178 0x00403d78 4    5    .text   ascii   D0\b@
58   0x000031fb 0x00403dfb 7    8    .text   ascii   ~,9~$t\t
59   0x0000320c 0x00403e0c 4    5    .text   ascii   ~$9~
60   0x00003230 0x00403e30 5    6    .text   ascii   9~\ft\t
61   0x0000323f 0x00403e3f 4    5    .text   ascii   ~\f9~
62   0x00003425 0x00404025 4    5    .text   ascii   h&ZE
63   0x00003473 0x00404073 4    5    .text   ascii   h&ZE
64   0x00003647 0x00404247 5    6    .text   ascii   t\nj,V
65   0x00003669 0x00404269 4    5    .text   ascii   t\rh0
66   0x0000368e 0x0040428e 4    5    .text   ascii   t\rh`
67   0x000036e8 0x004042e8 5    6    .text   ascii   t\njLW
68   0x0000370b 0x0040430b 5    6    .text   ascii   t\njXV
69   0x0000374b 0x0040434b 4    5    .text   ascii   h&ZE
70   0x0000377f 0x0040437f 6    7    .text   ascii   Yt\njHV
71   0x000037b2 0x004043b2 5    6    .text   ascii   t\njhV
72   0x000037d7 0x004043d7 5    6    .text   ascii   t\nj`V
73   0x000037fc 0x004043fc 5    6    .text   ascii   t\njPV
74   0x0000381e 0x0040441e 5    6    .text   ascii   t\nj8V
75   0x00003841 0x00404441 5    6    .text   ascii   t\nj\bV
76   0x000038be 0x004044be 5    6    .text   ascii   t\nj@V
77   0x000038e0 0x004044e0 5    6    .text   ascii   t\njHV
78   0x00003902 0x00404502 5    6    .text   ascii   t\nj@V
79   0x00003964 0x00404564 5    6    .text   ascii   t\nj(V
80   0x00003986 0x00404586 5    6    .text   ascii   t\njLV
81   0x000039af 0x004045af 5    6    .text   ascii   t\nj@V
