[Strings]
nth  paddr      vaddr      len size section type    string
――――――――――――――――――――――――――――――――――――――――――――――――――――――――――
0    0x0000004d 0x0000004d 44  45           ascii   !This program cannot be run in DOS mode.\r\r\n$
1    0x000000d8 0x000000d8 4   5            ascii   Rich
2    0x000001f0 0x000001f0 5   6            ascii   .text
3    0x00000217 0x00000217 7   8            ascii   `.rdata
4    0x0000023f 0x0000023f 6   7            ascii   @.data
5    0x00000268 0x00000268 5   6            ascii   .rsrc
6    0x0000028f 0x0000028f 7   8            ascii   @.reloc
7    0x00001005 0x10001005 4   5    .text   ascii   t$HW
8    0x0000102d 0x1000102d 5   6    .text   ascii   T$\bQh
9    0x00001040 0x10001040 4   5    .text   ascii   D$\bj
10   0x00001075 0x10001075 4   5    .text   ascii   t$HW
11   0x000010a0 0x100010a0 5   6    .text   ascii   T$\bQh
12   0x000010b3 0x100010b3 4   5    .text   ascii   D$\bj
13   0x00001122 0x10001122 6   8    .text   utf8    _^3\rL$
14   0x00001178 0x10001178 4   5    .text   ascii   T$ f
15   0x00001182 0x10001182 4   5    .text   ascii   Dr:f
16   0x000011ed 0x100011ed 4   5    .text   ascii   _^f3
17   0x00001205 0x10001205 5   6    .text   ascii   AtBf;
18   0x0000121b 0x1000121b 4   5    .text   ascii   QVRh
19   0x0000123c 0x1000123c 6   7    .text   ascii   D$ j@P
20   0x00001262 0x10001262 4   5    .text   ascii   _^[d
21   0x00001272 0x10001272 5   6    .text   ascii   \$\bUW
22   0x00001284 0x10001284 4   5    .text   ascii   ~&VW
23   0x000012b3 0x100012b3 4   6    .text   utf8    _][Ð blocks=Basic Latin,Latin-1 Supplement
24   0x000012e7 0x100012e7 4   5    .text   ascii   SUVW
25   0x000012ec 0x100012ec 4   5    .text   ascii   D$0f
26   0x000012f9 0x100012f9 5   7    .text   utf8    3\r|$6
27   0x0000137e 0x1000137e 5   6    .text   ascii   D$Pj@
28   0x00001384 0x10001384 6   7    .text   ascii   L$4PQf
29   0x000013bb 0x100013bb 5   8    .text   utf8    D$PP进 blocks=Basic Latin,CJK Unified Ideographs
30   0x000013dc 0x100013dc 4   5    .text   ascii   TLPR
31   0x000013f1 0x100013f1 4   5    .text   ascii   }5j(
32   0x00001466 0x10001466 4   5    .text   ascii   9x$~
33   0x000014c0 0x100014c0 5   6    .text   ascii   _^][d
34   0x00001501 0x10001501 4   5    .text   ascii   D$\ff
35   0x00001536 0x10001536 4   5    .text   ascii   D$\ff
36   0x00001558 0x10001558 4   5    .text   ascii   L$,h
