Missing bin header dwarf
[Sections]

nth paddr          size vaddr         vsize perm name
―――――――――――――――――――――――――――――――――――――――――――――――――――――
0   0x00001000  0x1c000 0x00401000  0x1c000 -r-x .text
1   0x0001d000   0x4000 0x0041d000   0x4000 -r-- .rdata
2   0x00021000   0x6000 0x00421000  0x24000 -rw- .data
3   0x00027000   0x1000 0x00445000   0x1000 -r-- .rsrc

[Segments]

nth paddr  size vaddr  vsize perm name
――――――――――――――――――――――――――――――――――――――

[Entrypoints]
vaddr=0x0041c111 paddr=0x0001c111 haddr=0x00000120 type=program

1 entrypoints
[Constructors]

0 entrypoints
[Main]
vaddr=0x00410400 paddr=0x00010400
[Imports]
nth vaddr      bind type lib          name
――――――――――――――――――――――――――――――――――――――――――
1   0x0041d058 NONE FUNC KERNEL32.dll SetCurrentDirectoryA
2   0x0041d05c NONE FUNC KERNEL32.dll MoveFileExA
3   0x0041d060 NONE FUNC KERNEL32.dll GetCommandLineW
4   0x0041d064 NONE FUNC KERNEL32.dll GetVersionExA
5   0x0041d068 NONE FUNC KERNEL32.dll ReleaseMutex
6   0x0041d06c NONE FUNC KERNEL32.dll CreateMutexA
7   0x0041d070 NONE FUNC KERNEL32.dll OpenProcess
8   0x0041d074 NONE FUNC KERNEL32.dll GetCurrentProcess
9   0x0041d078 NONE FUNC KERNEL32.dll FreeLibrary
10  0x0041d07c NONE FUNC KERNEL32.dll CreateFileA
11  0x0041d080 NONE FUNC KERNEL32.dll GetProcAddress
12  0x0041d084 NONE FUNC KERNEL32.dll GetFileSize
13  0x0041d088 NONE FUNC KERNEL32.dll CreateEventA
14  0x0041d08c NONE FUNC KERNEL32.dll RemoveDirectoryA
15  0x0041d090 NONE FUNC KERNEL32.dll FindNextFileA
16  0x0041d094 NONE FUNC KERNEL32.dll GetTempFileNameA
17  0x0041d098 NONE FUNC KERNEL32.dll GetTempPathA
18  0x0041d09c NONE FUNC KERNEL32.dll QueryPerformanceCounter
19  0x0041d0a0 NONE FUNC KERNEL32.dll CreateDirectoryA
20  0x0041d0a4 NONE FUNC KERNEL32.dll UnmapViewOfFile
21  0x0041d0a8 NONE FUNC KERNEL32.dll MapViewOfFile
22  0x0041d0ac NONE FUNC KERNEL32.dll CreateFileMappingA
23  0x0041d0b0 NONE FUNC KERNEL32.dll GetEnvironmentVariableA
24  0x0041d0b4 NONE FUNC KERNEL32.dll InitializeCriticalSection
25  0x0041d0b8 NONE FUNC KERNEL32.dll LeaveCriticalSection
26  0x0041d0bc NONE FUNC KERNEL32.dll WritePrivateProfileStringA
27  0x0041d0c0 NONE FUNC KERNEL32.dll EnterCriticalSection
28  0x0041d0c4 NONE FUNC KERNEL32.dll GetPrivateProfileStringA
29  0x0041d0c8 NONE FUNC KERNEL32.dll ResetEvent
30  0x0041d0cc NONE FUNC KERNEL32.dll WaitForSingleObject
31  0x0041d0d0 NONE FUNC KERNEL32.dll CreatePipe
32  0x0041d0d4 NONE FUNC KERNEL32.dll GetStartupInfoA
33  0x0041d0d8 NONE FUNC KERNEL32.dll FindFirstFileA
34  0x0041d0dc NONE FUNC KERNEL32.dll GetSystemDirectoryA
35  0x0041d0e0 NONE FUNC KERNEL32.dll FindClose
36  0x0041d0e4 NONE FUNC KERNEL32.dll PeekNamedPipe
37  0x0041d0e8 NONE FUNC KERNEL32.dll ReadFile
38  0x0041d0ec NONE FUNC KERNEL32.dll WriteFile
39  0x0041d0f0 NONE FUNC KERNEL32.dll TerminateProcess
40  0x0041d0f4 NONE FUNC KERNEL32.dll CopyFileA
41  0x0041d0f8 NONE FUNC KERNEL32.dll CreateProcessA
42  0x0041d0fc NONE FUNC KERNEL32.dll DeleteFileA
43  0x0041d100 NONE FUNC KERNEL32.dll CreateThread
44  0x0041d104 NONE FUNC KERNEL32.dll GetLastError
45  0x0041d108 NONE FUNC KERNEL32.dll GetModuleFileNameA
46  0x0041d10c NONE FUNC KERNEL32.dll GetLongPathNameA
47  0x0041d110 NONE FUNC KERNEL32.dll GetCurrentDirectoryA
48  0x0041d114 NONE FUNC KERNEL32.dll GetLocalTime
49  0x0041d118 NONE FUNC KERNEL32.dll OpenEventA
50  0x0041d11c NONE FUNC KERNEL32.dll SetEvent
51  0x0041d120 NONE FUNC KERNEL32.dll CloseHandle
52  0x0041d124 NONE FUNC KERNEL32.dll Sleep
53  0x0041d128 NONE FUNC KERNEL32.dll SetFilePointer
54  0x0041d12c NONE FUNC KERNEL32.dll LoadLibraryA
55  0x0041d130 NONE FUNC KERNEL32.dll LocalFree
56  0x0041d134 NONE FUNC KERNEL32.dll GetModuleHandleA
1   0x0041d000 NONE FUNC ADVAPI32.dll CredFree
2   0x0041d004 NONE FUNC ADVAPI32.dll LookupPrivilegeValueA
3   0x0041d008 NONE FUNC ADVAPI32.dll AdjustTokenPrivileges
4   0x0041d00c NONE FUNC ADVAPI32.dll ImpersonateLoggedOnUser
5   0x0041d010 NONE FUNC ADVAPI32.dll OpenProcessToken
6   0x0041d014 NONE FUNC ADVAPI32.dll RevertToSelf
7   0x0041d018 NONE FUNC ADVAPI32.dll RegQueryValueExA
8   0x0041d01c NONE FUNC ADVAPI32.dll GetUserNameA
9   0x0041d020 NONE FUNC ADVAPI32.dll RegOpenKeyExW
10  0x0041d024 NONE FUNC ADVAPI32.dll RegQueryValueExW
11  0x0041d028 NONE FUNC ADVAPI32.dll StartServiceCtrlDispatcherA
12  0x0041d02c NONE FUNC ADVAPI32.dll RegisterServiceCtrlHandlerA
13  0x0041d030 NONE FUNC ADVAPI32.dll RegDeleteValueA
14  0x0041d034 NONE FUNC ADVAPI32.dll RegCreateKeyExA
15  0x0041d038 NONE FUNC ADVAPI32.dll RegCloseKey
16  0x0041d03c NONE FUNC ADVAPI32.dll RegOpenKeyExA
17  0x0041d040 NONE FUNC ADVAPI32.dll RegSetValueExA
18  0x0041d044 NONE FUNC ADVAPI32.dll SetServiceStatus
19  0x0041d048 NONE FUNC ADVAPI32.dll InitializeSecurityDescriptor
20  0x0041d04c NONE FUNC ADVAPI32.dll SetSecurityDescriptorDacl
21  0x0041d050 NONE FUNC ADVAPI32.dll CredEnumerateA
1   0x0041d218 NONE FUNC SHELL32.dll  CommandLineToArgvW
680 0x0041d21c NONE FUNC SHELL32.dll  IsUserAnAdmin
1   0x0041d294 NONE FUNC ole32.dll    CoTaskMemFree
1   0x0041d224 NONE FUNC SHLWAPI.dll  PathStripPathA
2   0x0041d228 NONE FUNC SHLWAPI.dll  PathFileExistsA
3   0x0041d22c NONE FUNC SHLWAPI.dll  PathIsFileSpecA
4   0x0041d230 NONE FUNC SHLWAPI.dll  PathAppendA
5   0x0041d234 NONE FUNC SHLWAPI.dll  PathRemoveFileSpecA
6   0x0041d238 NONE FUNC SHLWAPI.dll  SHDeleteKeyA
7   0x0041d23c NONE FUNC SHLWAPI.dll  PathIsDirectoryA
1   0x0041d20c NONE FUNC RPCRT4.dll   UuidToStringA
2   0x0041d210 NONE FUNC RPCRT4.dll   UuidCreate
12  0x0041d244 NONE FUNC WS2_32.dll   inet_ntoa
52  0x0041d248 NONE FUNC WS2_32.dll   gethostbyname
11  0x0041d24c NONE FUNC WS2_32.dll   inet_addr
3   0x0041d250 NONE FUNC WS2_32.dll   closesocket
4   0x0041d254 NONE FUNC WS2_32.dll   connect
23  0x0041d258 NONE FUNC WS2_32.dll   socket
9   0x0041d25c NONE FUNC WS2_32.dll   htons
56  0x0041d260 NONE FUNC WS2_32.dll   getservbyport
15  0x0041d264 NONE FUNC WS2_32.dll   ntohs
111 0x0041d268 NONE FUNC WS2_32.dll   WSAGetLastError
19  0x0041d26c NONE FUNC WS2_32.dll   send
16  0x0041d270 NONE FUNC WS2_32.dll   recv
21  0x0041d274 NONE FUNC WS2_32.dll   setsockopt
115 0x0041d278 NONE FUNC WS2_32.dll   WSAStartup
57  0x0041d27c NONE FUNC WS2_32.dll   gethostname
112 0x0041d280 NONE FUNC WS2_32.dll   WSASetLastError
8   0x0041d284 NONE FUNC WS2_32.dll   htonl
55  0x0041d288 NONE FUNC WS2_32.dll   getservbyname
51  0x0041d28c NONE FUNC WS2_32.dll   gethostbyaddr
1   0x0041d13c NONE FUNC MSVCRT.dll   _CxxThrowException
2   0x0041d140 NONE FUNC MSVCRT.dll   _strdup
3   0x0041d144 NONE FUNC MSVCRT.dll   _stricmp
4   0x0041d148 NONE FUNC MSVCRT.dll   _controlfp
5   0x0041d14c NONE FUNC MSVCRT.dll   sym.imp.public virtual: void __thiscall type_info::~destructor(void)
6   0x0041d150 NONE FUNC MSVCRT.dll   _except_handler3
7   0x0041d154 NONE FUNC MSVCRT.dll   __set_app_type
8   0x0041d158 NONE FUNC MSVCRT.dll   __p__fmode
9   0x0041d15c NONE FUNC MSVCRT.dll   __p__commode
10  0x0041d160 NONE FUNC MSVCRT.dll   _adjust_fdiv
11  0x0041d164 NONE FUNC MSVCRT.dll   __setusermatherr
12  0x0041d168 NONE FUNC MSVCRT.dll   _initterm
13  0x0041d16c NONE FUNC MSVCRT.dll   __getmainargs
14  0x0041d170 NONE FUNC MSVCRT.dll   _acmdln
15  0x0041d174 NONE FUNC MSVCRT.dll   exit
16  0x0041d178 NONE FUNC MSVCRT.dll   _XcptFilter
17  0x0041d17c NONE FUNC MSVCRT.dll   _exit
18  0x0041d180 NONE FUNC MSVCRT.dll   memmove
19  0x0041d184 NONE FUNC MSVCRT.dll   _mkdir
20  0x0041d188 NONE FUNC MSVCRT.dll   _errno
21  0x0041d18c NONE FUNC MSVCRT.dll   strtoul
22  0x0041d190 NONE FUNC MSVCRT.dll   calloc
23  0x0041d194 NONE FUNC MSVCRT.dll   printf
24  0x0041d198 NONE FUNC MSVCRT.dll   wcslen
25  0x0041d19c NONE FUNC MSVCRT.dll   realloc
26  0x0041d1a0 NONE FUNC MSVCRT.dll   sscanf
27  0x0041d1a4 NONE FUNC MSVCRT.dll   _strnicmp
28  0x0041d1a8 NONE FUNC MSVCRT.dll   time
29  0x0041d1ac NONE FUNC MSVCRT.dll   __CxxFrameHandler
30  0x0041d1b0 NONE FUNC MSVCRT.dll   atoi
31  0x0041d1b4 NONE FUNC MSVCRT.dll   strtok
32  0x0041d1b8 NONE FUNC MSVCRT.dll   sprintf
33  0x0041d1bc NONE FUNC MSVCRT.dll   atol
34  0x0041d1c0 NONE FUNC MSVCRT.dll   free
35  0x0041d1c4 NONE FUNC MSVCRT.dll   malloc
36  0x0041d1c8 NONE FUNC MSVCRT.dll   strncpy
37  0x0041d1cc NONE FUNC MSVCRT.dll   strstr
38  0x0041d1d0 NONE FUNC MSVCRT.dll   _strupr
39  0x0041d1d4 NONE FUNC MSVCRT.dll   _snprintf
40  0x0041d1d8 NONE FUNC MSVCRT.dll   strncat
41  0x0041d1dc NONE FUNC MSVCRT.dll   atof
42  0x0041d1e0 NONE FUNC MSVCRT.dll   _ftol
43  0x0041d1e4 NONE FUNC MSVCRT.dll   _wtoi
44  0x0041d1e8 NONE FUNC MSVCRT.dll   wcstombs
45  0x0041d1ec NONE FUNC MSVCRT.dll   sym.imp.void __cdecl operator delete(void *)
46  0x0041d1f0 NONE FUNC MSVCRT.dll   toupper
47  0x0041d1f4 NONE FUNC MSVCRT.dll   strchr
48  0x0041d1f8 NONE FUNC MSVCRT.dll   strcspn
49  0x0041d1fc NONE FUNC MSVCRT.dll   strspn
200 0x0041d204 NONE FUNC OLEAUT32.dll SetErrorInfo

[Symbols]

nth paddr      vaddr      bind type size lib          name
――――――――――――――――――――――――――――――――――――――――――――――――――――――――――
1   0x0001d058 0x0041d058 NONE FUNC 0    KERNEL32.dll imp.SetCurrentDirectoryA
2   0x0001d05c 0x0041d05c NONE FUNC 0    KERNEL32.dll imp.MoveFileExA
3   0x0001d060 0x0041d060 NONE FUNC 0    KERNEL32.dll imp.GetCommandLineW
4   0x0001d064 0x0041d064 NONE FUNC 0    KERNEL32.dll imp.GetVersionExA
5   0x0001d068 0x0041d068 NONE FUNC 0    KERNEL32.dll imp.ReleaseMutex
6   0x0001d06c 0x0041d06c NONE FUNC 0    KERNEL32.dll imp.CreateMutexA
7   0x0001d070 0x0041d070 NONE FUNC 0    KERNEL32.dll imp.OpenProcess
8   0x0001d074 0x0041d074 NONE FUNC 0    KERNEL32.dll imp.GetCurrentProcess
9   0x0001d078 0x0041d078 NONE FUNC 0    KERNEL32.dll imp.FreeLibrary
10  0x0001d07c 0x0041d07c NONE FUNC 0    KERNEL32.dll imp.CreateFileA
11  0x0001d080 0x0041d080 NONE FUNC 0    KERNEL32.dll imp.GetProcAddress
12  0x0001d084 0x0041d084 NONE FUNC 0    KERNEL32.dll imp.GetFileSize
13  0x0001d088 0x0041d088 NONE FUNC 0    KERNEL32.dll imp.CreateEventA
14  0x0001d08c 0x0041d08c NONE FUNC 0    KERNEL32.dll imp.RemoveDirectoryA
15  0x0001d090 0x0041d090 NONE FUNC 0    KERNEL32.dll imp.FindNextFileA
16  0x0001d094 0x0041d094 NONE FUNC 0    KERNEL32.dll imp.GetTempFileNameA
17  0x0001d098 0x0041d098 NONE FUNC 0    KERNEL32.dll imp.GetTempPathA
