Metadata Signature: 0x5248 0x10001424a5342 12
.NET Version: v4.0.30319
Number of Metadata Streams: 5
DirectoryAddress: 6c Size: 1580
Stream name: #~ 4
DirectoryAddress: 15ec Size: 1920
Stream name: #Strings 12
DirectoryAddress: 2f0c Size: c0c
Stream name: #US 4
DirectoryAddress: 3b18 Size: 10
Stream name: #GUID 8
DirectoryAddress: 3b28 Size: 93c
Stream name: #Blob 8
[Strings]
nth paddr      vaddr      len size section type    string
―――――――――――――――――――――――――――――――――――――――――――――――――――――――――
0   0x0000004d 0x0000004d 44  45           ascii   !This program cannot be run in DOS mode.\r\r\n$
1   0x00000178 0x00000178 5   6            ascii   .text
2   0x0000019f 0x0000019f 6   7            ascii   `.rsrc
3   0x000001c7 0x000001c7 7   8            ascii   @.reloc
4   0x00000379 0x00402179 4   5    .text   ascii   \e-\n(
5   0x000003c5 0x004021c5 4   5    .text   ascii   \e-\n(
6   0x000004bc 0x004022bc 5   6    .text   ascii   \n\v\ao%
7   0x000004f2 0x004022f2 4   5    .text   ascii   \n*\e0
8   0x00000535 0x00402335 4   5    .text   ascii   \n\v(,
9   0x000008b5 0x004026b5 4   5    .text   ascii   \n\n(,
10  0x00000941 0x00402741 4   5    .text   ascii   \n&(*
11  0x000009a7 0x004027a7 4   5    .text   ascii   \n\n(,
12  0x000009f1 0x004027f1 4   5    .text   ascii   \n\n(,
13  0x00000a15 0x00402815 4   5    .text   ascii   \n\v(,
14  0x00000a6e 0x0040286e 4   5    .text   ascii   \n\nrg
15  0x00000ad3 0x004028d3 4   5    .text   ascii   \n&(*
16  0x00000bd5 0x004029d5 4   5    .text   ascii   \n&(*
17  0x00000be3 0x004029e3 4   5    .text   ascii   \n\n(*
18  0x00000d1b 0x00402b1b 4   5    .text   ascii   \n\v(,
19  0x00000dc9 0x00402bc9 4   5    .text   ascii   \n8B2
20  0x0000118d 0x00402f8d 4   5    .text   ascii   \n8~.
21  0x000011a1 0x00402fa1 4   5    .text   ascii   3C(l
22  0x000011da 0x00402fda 4   5    .text   ascii   \n&(*
23  0x000011e0 0x00402fe0 4   5    .text   ascii   \n8+.
24  0x000011f4 0x00402ff4 4   5    .text   ascii   3(r=
25  0x0000122c 0x0040302c 4   5    .text   ascii   3XrM
26  0x000012a2 0x004030a2 5   6    .text   ascii   \n&8h-
27  0x000016b7 0x004034b7 4   5    .text   ascii   Y@ot
28  0x00001988 0x00403788 4   5    .text   ascii   3(r-
29  0x00001aba 0x004038ba 4   5    .text   ascii   \n&(#
30  0x00001b25 0x00403925 4   5    .text   ascii   3+(#
31  0x00001b60 0x00403960 4   5    .text   ascii   32(#
32  0x00001b8e 0x0040398e 4   5    .text   ascii   \n8}$
33  0x00001da3 0x00403ba3 5   6    .text   ascii   \n&8g"
34  0x00001db8 0x00403bb8 4   5    .text   ascii   3(r\v
35  0x00001f8f 0x00403d8f 5   6    .text   ascii   \n&8{ 
36  0x00001fe1 0x00403de1 5   6    .text   ascii   \n&8) 
37  0x00002192 0x00403f92 4   5    .text   ascii   \n&8x
38  0x000023d7 0x004041d7 4   5    .text   ascii   \n&(*
39  0x00002678 0x00404478 4   5    .text   ascii   $r)\a
40  0x000026a8 0x004044a8 4   5    .text   ascii   \n&8b
41  0x000026b0 0x004044b0 4   5    .text   ascii   $rC\a
42  0x000026bd 0x004044bd 4   5    .text   ascii   38~#
43  0x000026f8 0x004044f8 4   5    .text   ascii   $rQ\a
44  0x00002705 0x00404505 4   5    .text   ascii   3%(R
45  0x0000270b 0x0040450b 4   5    .text   ascii   \nr]\a
46  0x0000272d 0x0040452d 4   5    .text   ascii   $ru\a
47  0x000027a2 0x004045a2 4   5    .text   ascii   \n,0(
48  0x0000289f 0x0040469f 4   5    .text   ascii   \n,0(
49  0x000029e5 0x004047e5 4   5    .text   ascii   \n&8%
50  0x000030e8 0x00404ee8 4   5    .text   ascii   $r\t\b
51  0x00003114 0x00404f14 4   5    .text   ascii   3B~ 
52  0x00003159 0x00404f59 4   5    .text   ascii   $r)\b
53  0x00003178 0x00404f78 4   5    .text   ascii   $r5\b
54  0x00003185 0x00404f85 4   5    .text   ascii   34~!
55  0x00003190 0x00404f90 6   7    .text   ascii   \n,#r5\b
56  0x000031bc 0x00404fbc 4   5    .text   ascii   $rA\b
57  0x000031c9 0x00404fc9 5   6    .text   ascii   3FrA\b
58  0x00003212 0x00405012 4   5    .text   ascii   $rM\b
59  0x0000321f 0x0040501f 5   6    .text   ascii   3(rM\b
60  0x0000324a 0x0040504a 4   5    .text   ascii   $rW\b
61  0x00003325 0x00405125 4   5    .text   ascii   $ro\b
62  0x00003332 0x00405132 5   6    .text   ascii   3(ro\b
63  0x0000335d 0x0040515d 4   5    .text   ascii   $rw\b
64  0x000033b4 0x004051b4 4   5    .text   ascii    rw\b
65  0x000036bf 0x004054bf 4   5    .text   ascii   \n8L\t
66  0x00003842 0x00405642 4   5    .text   ascii   $r\t\t
67  0x00003899 0x00405699 4   5    .text   ascii   \n8r\a
68  0x000039ab 0x004057ab 4   5    .text   ascii   $r)\t
69  0x00003a79 0x00405879 4   5    .text   ascii   $rQ\t
70  0x00003a94 0x00405894 4   5    .text   ascii   \nre\t
71  0x00003ac7 0x004058c7 4   5    .text   ascii   \n&(*
72  0x00003acd 0x004058cd 4   5    .text   ascii   \nr{\t
73  0x00003b29 0x00405929 5   6    .text   ascii   3hr[\t
74  0x00003b34 0x00405934 4   5    .text   ascii   \nre\t
75  0x00003b43 0x00405943 4   5    .text   ascii   \n,%r
76  0x00003dd9 0x00405bd9 4   5    .text   ascii   \n&(*
77  0x00003e6b 0x00405c6b 4   5    .text   ascii   \n+9r
78  0x000041e5 0x00405fe5 5   6    .text   ascii   \n\r\t\b(
79  0x00004256 0x00406056 4   5    .text   ascii   \n\v\a(
80  0x00004268 0x00406068 4   5    .text   ascii   \n\f(,
81  0x000042c1 0x004060c1 4   5    .text   ascii   \n\r(,
82  0x00004321 0x00406121 4   5    .text   ascii   \nr1\n
83  0x00004381 0x00406181 4   5    .text   ascii   \r\a\to
